SITE	DATE	TIME	TEMP	SERIAL
NAPL	3/28/02	14:05:00	11.51	526486
NAPL	3/28/02	14:15:00	11.26	526486
NAPL	3/28/02	14:25:00	11.17	526486
NAPL	3/28/02	14:35:00	11.26	526486
NAPL	3/28/02	14:45:00	11.26	526486
NAPL	3/28/02	14:55:00	11.17	526486
NAPL	3/28/02	15:05:00	11.17	526486
NAPL	3/28/02	15:15:00	11.17	526486
NAPL	3/28/02	15:25:00	11.08	526486
NAPL	3/28/02	15:35:00	11.08	526486
NAPL	3/28/02	15:45:00	11.08	526486
NAPL	3/28/02	15:55:00	11.08	526486
NAPL	3/28/02	16:05:00	11.08	526486
NAPL	3/28/02	16:15:00	11.08	526486
NAPL	3/28/02	16:25:00	11	526486
NAPL	3/28/02	16:35:00	11	526486
NAPL	3/28/02	16:45:00	11	526486
NAPL	3/28/02	16:55:00	11	526486
NAPL	3/28/02	17:05:00	10.92	526486
NAPL	3/28/02	17:15:00	10.92	526486
NAPL	3/28/02	17:25:00	10.92	526486
NAPL	3/28/02	17:35:00	10.92	526486
NAPL	3/28/02	17:45:00	10.83	526486
NAPL	3/28/02	17:55:00	10.83	526486
NAPL	3/28/02	18:05:00	10.74	526486
NAPL	3/28/02	18:15:00	10.74	526486
NAPL	3/28/02	18:25:00	10.74	526486
NAPL	3/28/02	18:35:00	10.66	526486
NAPL	3/28/02	18:45:00	10.66	526486
NAPL	3/28/02	18:55:00	10.66	526486
NAPL	3/28/02	19:05:00	10.66	526486
NAPL	3/28/02	19:15:00	10.66	526486
NAPL	3/28/02	19:25:00	10.74	526486
NAPL	3/28/02	19:35:00	10.74	526486
NAPL	3/28/02	19:45:00	10.74	526486
NAPL	3/28/02	19:55:00	10.74	526486
NAPL	3/28/02	20:05:00	10.74	526486
NAPL	3/28/02	20:15:00	10.74	526486
NAPL	3/28/02	20:25:00	10.83	526486
NAPL	3/28/02	20:35:00	10.83	526486
NAPL	3/28/02	20:45:00	10.74	526486
NAPL	3/28/02	20:55:00	10.74	526486
NAPL	3/28/02	21:05:00	10.74	526486
NAPL	3/28/02	21:15:00	10.74	526486
NAPL	3/28/02	21:25:00	10.74	526486
NAPL	3/28/02	21:35:00	10.83	526486
NAPL	3/28/02	21:45:00	10.83	526486
NAPL	3/28/02	21:55:00	10.92	526486
NAPL	3/28/02	22:05:00	10.92	526486
