Date	Time	Temperature   (*C)
08-12-03	12:12:00	26.99
08-12-03	12:36:00	26.99
08-12-03	13:00:00	26.99
08-12-03	13:24:00	17.16
08-12-03	13:48:00	20.11
08-12-03	14:12:00	14.18
08-12-03	14:36:00	14.09
08-12-03	15:00:00	14.97
08-12-03	15:24:00	15.83
08-12-03	15:48:00	16.01
08-12-03	16:12:00	16.18
08-12-03	16:36:00	15.4
08-12-03	17:00:00	15.32
08-12-03	17:24:00	15.4
08-12-03	17:48:00	15.23
08-12-03	18:12:00	14.97
08-12-03	18:36:00	14.88
08-12-03	19:00:00	14.88
08-12-03	19:24:00	14.09
08-12-03	19:48:00	13.76
08-12-03	20:12:00	13.33
08-12-03	20:36:00	13.07
08-12-03	21:00:00	13.07
08-12-03	21:24:00	12.98
08-12-03	21:48:00	12.55
08-12-03	22:12:00	12.47
08-12-03	22:36:00	12.38
08-12-03	23:00:00	12.55
08-12-03	23:24:00	12.64
08-12-03	23:48:00	12.64
08-13-03	00:12:00	12.81
08-13-03	00:36:00	12.89
08-13-03	01:00:00	12.98
08-13-03	01:24:00	13.07
08-13-03	01:48:00	12.98
08-13-03	02:12:00	12.98
08-13-03	02:36:00	13.07
08-13-03	03:00:00	13.58
08-13-03	03:24:00	14.01
08-13-03	03:48:00	14.44
08-13-03	04:12:00	15.14
08-13-03	04:36:00	17.16
08-13-03	05:00:00	17.78
08-13-03	05:24:00	17.96
08-13-03	05:48:00	18.04
08-13-03	06:12:00	17.96
08-13-03	06:36:00	17.96
08-13-03	07:00:00	17.87
08-13-03	07:24:00	17.78
08-13-03	07:48:00	17.78
08-13-03	08:12:00	17.43
08-13-03	08:36:00	17.61
08-13-03	09:00:00	17.69
08-13-03	09:24:00	17.96
08-13-03	09:48:00	17.96
08-13-03	10:12:00	17.96
08-13-03	10:36:00	17.78
08-13-03	11:00:00	17.69
08-13-03	11:24:00	17.52
08-13-03	11:48:00	17.34
08-13-03	12:12:00	17.25
08-13-03	12:36:00	17.16
08-13-03	13:00:00	17.07
08-13-03	13:24:00	17.16
08-13-03	13:48:00	17.16
08-13-03	14:12:00	17.16
08-13-03	14:36:00	17.16
08-13-03	15:00:00	16.89
08-13-03	15:24:00	16.81
08-13-03	15:48:00	16.72
08-13-03	16:12:00	16.36
08-13-03	16:36:00	14.62
08-13-03	17:00:00	14.36
08-13-03	17:24:00	14.53
08-13-03	17:48:00	15.14
08-13-03	18:12:00	15.75
08-13-03	18:36:00	15.49
08-13-03	19:00:00	16.45
08-13-03	19:24:00	16.72
08-13-03	19:48:00	15.83
08-13-03	20:12:00	16.01
08-13-03	20:36:00	15.23
08-13-03	21:00:00	15.23
08-13-03	21:24:00	15.23
08-13-03	21:48:00	15.4
08-13-03	22:12:00	15.49
08-13-03	22:36:00	15.23
08-13-03	23:00:00	15.06
08-13-03	23:24:00	15.14
08-13-03	23:48:00	15.49
08-14-03	00:12:00	15.66
08-14-03	00:36:00	16.89
08-14-03	01:00:00	17.61
08-14-03	01:24:00	17.61
08-14-03	01:48:00	17.69
08-14-03	02:12:00	17.69
08-14-03	02:36:00	17.69
08-14-03	03:00:00	17.52
08-14-03	03:24:00	17.61
08-14-03	03:48:00	17.43
08-14-03	04:12:00	17.61
08-14-03	04:36:00	17.69
08-14-03	05:00:00	16.81
08-14-03	05:24:00	16.63
08-14-03	05:48:00	17.16
08-14-03	06:12:00	17.34
08-14-03	06:36:00	17.43
08-14-03	07:00:00	16.98
08-14-03	07:24:00	15.92
08-14-03	07:48:00	15.4
08-14-03	08:12:00	15.66
08-14-03	08:36:00	15.58
08-14-03	09:00:00	14.62
08-14-03	09:24:00	14.97
08-14-03	09:48:00	15.06
08-14-03	10:12:00	14.53
08-14-03	10:36:00	14.97
08-14-03	11:00:00	15.49
08-14-03	11:24:00	15.23
08-14-03	11:48:00	16.45
08-14-03	12:12:00	16.81
08-14-03	12:36:00	17.34
08-14-03	13:00:00	17.69
08-14-03	13:24:00	17.61
08-14-03	13:48:00	17.43
08-14-03	14:12:00	17.07
08-14-03	14:36:00	16.98
08-14-03	15:00:00	16.89
08-14-03	15:24:00	15.58
08-14-03	15:48:00	14.79
08-14-03	16:12:00	14.36
08-14-03	16:36:00	14.09
08-14-03	17:00:00	14.01
08-14-03	17:24:00	14.01
08-14-03	17:48:00	13.92
08-14-03	18:12:00	13.67
08-14-03	18:36:00	13.76
08-14-03	19:00:00	13.92
08-14-03	19:24:00	15.4
08-14-03	19:48:00	16.18
08-14-03	20:12:00	15.49
08-14-03	20:36:00	15.58
08-14-03	21:00:00	16.09
08-14-03	21:24:00	16.27
08-14-03	21:48:00	16.36
08-14-03	22:12:00	16.98
08-14-03	22:36:00	16.98
08-14-03	23:00:00	16.98
08-14-03	23:24:00	16.54
08-14-03	23:48:00	16.36
08-15-03	00:12:00	15.4
08-15-03	00:36:00	14.53
08-15-03	01:00:00	14.44
08-15-03	01:24:00	13.76
08-15-03	01:48:00	13.58
08-15-03	02:12:00	13.5
08-15-03	02:36:00	13.84
