Date	Time	Temperature   (*C)
06/20/06	12:00:00.0	17.18
06/20/06	12:30:00.0	17.18
06/20/06	13:00:00.0	17.09
06/20/06	13:30:00.0	17.09
06/20/06	14:00:00.0	17.09
06/20/06	14:30:00.0	17
06/20/06	15:00:00.0	17.44
06/20/06	15:30:00.0	17.44
06/20/06	16:00:00.0	17.27
06/20/06	16:30:00.0	17.36
06/20/06	17:00:00.0	17.79
06/20/06	17:30:00.0	19.22
06/20/06	18:00:00.0	19.92
06/20/06	18:30:00.0	20.01
06/20/06	19:00:00.0	19.13
06/20/06	19:30:00.0	18.77
06/20/06	20:00:00.0	18.5
06/20/06	20:30:00.0	14.22
06/20/06	21:00:00.0	14.22
06/20/06	21:30:00.0	14.13
06/20/06	22:00:00.0	14.05
06/20/06	22:30:00.0	14.05
06/20/06	23:00:00.0	13.79
06/20/06	23:30:00.0	13.88
06/21/06	00:00:00.0	13.79
06/21/06	00:30:00.0	13.88
06/21/06	01:00:00.0	13.71
06/21/06	01:30:00.0	13.79
06/21/06	02:00:00.0	13.79
06/21/06	02:30:00.0	13.62
06/21/06	03:00:00.0	13.71
06/21/06	03:30:00.0	13.71
06/21/06	04:00:00.0	13.62
06/21/06	04:30:00.0	13.54
06/21/06	05:00:00.0	13.62
06/21/06	05:30:00.0	13.46
06/21/06	06:00:00.0	13.71
06/21/06	06:30:00.0	13.88
06/21/06	07:00:00.0	13.71
06/21/06	07:30:00.0	13.62
06/21/06	08:00:00.0	13.62
06/21/06	08:30:00.0	13.62
06/21/06	09:00:00.0	13.88
06/21/06	09:30:00.0	13.79
06/21/06	10:00:00.0	13.96
06/21/06	10:30:00.0	14.05
06/21/06	11:00:00.0	13.79
06/21/06	11:30:00.0	14.05
06/21/06	12:00:00.0	13.88
06/21/06	12:30:00.0	14.13
06/21/06	13:00:00.0	14.05
06/21/06	13:30:00.0	13.62
06/21/06	14:00:00.0	13.46
06/21/06	14:30:00.0	13.37
06/21/06	15:00:00.0	13.28
06/21/06	15:30:00.0	13.71
06/21/06	16:00:00.0	13.88
06/21/06	16:30:00.0	13.96
06/21/06	17:00:00.0	13.88
06/21/06	17:30:00.0	14.05
06/21/06	18:00:00.0	13.88
06/21/06	18:30:00.0	13.96
06/21/06	19:00:00.0	13.96
06/21/06	19:30:00.0	14.05
06/21/06	20:00:00.0	14.22
06/21/06	20:30:00.0	14.22
06/21/06	21:00:00.0	14.22
06/21/06	21:30:00.0	14.22
06/21/06	22:00:00.0	14.22
06/21/06	22:30:00.0	14.22
06/21/06	23:00:00.0	14.22
06/21/06	23:30:00.0	14.22
06/22/06	00:00:00.0	14.22
06/22/06	00:30:00.0	14.13
06/22/06	01:00:00.0	14.05
06/22/06	01:30:00.0	14.05
06/22/06	02:00:00.0	14.05
06/22/06	02:30:00.0	14.05
06/22/06	03:00:00.0	14.05
06/22/06	03:30:00.0	13.96
06/22/06	04:00:00.0	13.96
06/22/06	04:30:00.0	14.13
06/22/06	05:00:00.0	14.39
06/22/06	05:30:00.0	14.31
06/22/06	06:00:00.0	14.39
06/22/06	06:30:00.0	14.39
06/22/06	07:00:00.0	14.39
06/22/06	07:30:00.0	14.31
06/22/06	08:00:00.0	14.31
06/22/06	08:30:00.0	14.13
06/22/06	09:00:00.0	14.05
06/22/06	09:30:00.0	13.96
06/22/06	10:00:00.0	13.96
06/22/06	10:30:00.0	13.88
06/22/06	11:00:00.0	13.88
06/22/06	11:30:00.0	13.96
06/22/06	12:00:00.0	13.96
06/22/06	12:30:00.0	14.05
06/22/06	13:00:00.0	13.96
06/22/06	13:30:00.0	13.96
06/22/06	14:00:00.0	13.88
06/22/06	14:30:00.0	14.48
06/22/06	15:00:00.0	14.05
06/22/06	15:30:00.0	14.05
06/22/06	16:00:00.0	14.22
06/22/06	16:30:00.0	14.05
06/22/06	17:00:00.0	14.31
06/22/06	17:30:00.0	15.01
06/22/06	18:00:00.0	14.83
06/22/06	18:30:00.0	14.83
06/22/06	19:00:00.0	14.83
06/22/06	19:30:00.0	14.92
06/22/06	20:00:00.0	14.83
06/22/06	20:30:00.0	14.83
06/22/06	21:00:00.0	14.83
06/22/06	21:30:00.0	14.83
06/22/06	22:00:00.0	14.83
06/22/06	22:30:00.0	15.01
06/22/06	23:00:00.0	15.09
06/22/06	23:30:00.0	15.18
06/23/06	00:00:00.0	15.26
06/23/06	00:30:00.0	15.34
06/23/06	01:00:00.0	15.43
06/23/06	01:30:00.0	15.69
06/23/06	02:00:00.0	15.86
06/23/06	02:30:00.0	15.95
06/23/06	03:00:00.0	16.12
06/23/06	03:30:00.0	16.21
06/23/06	04:00:00.0	16.12
06/23/06	04:30:00.0	16.21
06/23/06	05:00:00.0	15.52
06/23/06	05:30:00.0	15.26
06/23/06	06:00:00.0	15.26
06/23/06	06:30:00.0	14.92
06/23/06	07:00:00.0	15.01
06/23/06	07:30:00.0	14.83
06/23/06	08:00:00.0	14.83
06/23/06	08:30:00.0	14.92
06/23/06	09:00:00.0	15.09
06/23/06	09:30:00.0	15.09
06/23/06	10:00:00.0	15.01
06/23/06	10:30:00.0	15.01
06/23/06	11:00:00.0	15.18
06/23/06	11:30:00.0	14.74
06/23/06	12:00:00.0	14.74
06/23/06	12:30:00.0	15.18
06/23/06	13:00:00.0	15.26
06/23/06	13:30:00.0	15.09
06/23/06	14:00:00.0	15.01
06/23/06	14:30:00.0	14.83
06/23/06	15:00:00.0	14.92
06/23/06	15:30:00.0	14.66
06/23/06	16:00:00.0	14.83
06/23/06	16:30:00.0	14.83
06/23/06	17:00:00.0	14.92
06/23/06	17:30:00.0	14.83
06/23/06	18:00:00.0	14.83
06/23/06	18:30:00.0	15.01
06/23/06	19:00:00.0	14.83
06/23/06	19:30:00.0	14.74
06/23/06	20:00:00.0	14.66
06/23/06	20:30:00.0	14.74
06/23/06	21:00:00.0	14.39
06/23/06	21:30:00.0	14.13
06/23/06	22:00:00.0	13.62
06/23/06	22:30:00.0	14.22
06/23/06	23:00:00.0	14.31
06/23/06	23:30:00.0	14.48
06/24/06	00:00:00.0	14.57
06/24/06	00:30:00.0	14.39
06/24/06	01:00:00.0	13.96
06/24/06	01:30:00.0	13.88
06/24/06	02:00:00.0	13.79
06/24/06	02:30:00.0	13.54
06/24/06	03:00:00.0	13.54
06/24/06	03:30:00.0	13.2
06/24/06	04:00:00.0	12.95
06/24/06	04:30:00.0	13.12
06/24/06	05:00:00.0	13.03
06/24/06	05:30:00.0	13.03
06/24/06	06:00:00.0	12.78
06/24/06	06:30:00.0	13.2
06/24/06	07:00:00.0	13.28
06/24/06	07:30:00.0	13.12
06/24/06	08:00:00.0	12.86
06/24/06	08:30:00.0	12.95
06/24/06	09:00:00.0	13.03
06/24/06	09:30:00.0	12.95
06/24/06	10:00:00.0	13.12
06/24/06	10:30:00.0	13.2
06/24/06	11:00:00.0	13.37
06/24/06	11:30:00.0	13.54
06/24/06	12:00:00.0	13.54
06/24/06	12:30:00.0	14.05
06/24/06	13:00:00.0	13.54
06/24/06	13:30:00.0	13.28
06/24/06	14:00:00.0	13.37
06/24/06	14:30:00.0	13.54
06/24/06	15:00:00.0	13.28
06/24/06	15:30:00.0	13.28
06/24/06	16:00:00.0	13.54
06/24/06	16:30:00.0	13.54
06/24/06	17:00:00.0	14.13
06/24/06	17:30:00.0	15.43
06/24/06	18:00:00.0	15.52
06/24/06	18:30:00.0	16.04
06/24/06	19:00:00.0	14.74
06/24/06	19:30:00.0	15.01
06/24/06	20:00:00.0	15.18
06/24/06	20:30:00.0	15.09
06/24/06	21:00:00.0	15.09
06/24/06	21:30:00.0	15.18
