Date	Time	Temperature   (*C)
07/17/06	15:00:00.0	20.78
07/17/06	15:30:00.0	19.78
07/17/06	16:00:00.0	19.16
07/17/06	16:30:00.0	18.81
07/17/06	17:00:00.0	23.84
07/17/06	17:30:00.0	24.03
07/17/06	18:00:00.0	23.37
07/17/06	18:30:00.0	27.03
07/17/06	19:00:00.0	27.13
07/17/06	19:30:00.0	27.13
07/17/06	20:00:00.0	27.13
07/17/06	20:30:00.0	19.25
07/17/06	21:00:00.0	14.92
07/17/06	21:30:00.0	15.44
07/17/06	22:00:00.0	14.05
07/17/06	22:30:00.0	13.46
07/17/06	23:00:00.0	13.46
07/17/06	23:30:00.0	13.54
07/18/06	00:00:00.0	13.71
07/18/06	00:30:00.0	13.97
07/18/06	01:00:00.0	14.14
07/18/06	01:30:00.0	14.23
07/18/06	02:00:00.0	15.01
07/18/06	02:30:00.0	14.48
07/18/06	03:00:00.0	12.94
07/18/06	03:30:00.0	13.28
07/18/06	04:00:00.0	13.2
07/18/06	04:30:00.0	15.36
07/18/06	05:00:00.0	15.18
07/18/06	05:30:00.0	14.31
07/18/06	06:00:00.0	13.62
07/18/06	06:30:00.0	13.46
07/18/06	07:00:00.0	13.37
07/18/06	07:30:00.0	13.62
07/18/06	08:00:00.0	13.71
07/18/06	08:30:00.0	13.28
07/18/06	09:00:00.0	13.03
07/18/06	09:30:00.0	14.4
07/18/06	10:00:00.0	14.92
07/18/06	10:30:00.0	14.57
07/18/06	11:00:00.0	14.31
07/18/06	11:30:00.0	13.97
07/18/06	12:00:00.0	13.62
07/18/06	12:30:00.0	13.46
07/18/06	13:00:00.0	15.09
07/18/06	13:30:00.0	15.79
07/18/06	14:00:00.0	16.14
07/18/06	14:30:00.0	16.76
07/18/06	15:00:00.0	16.67
07/18/06	15:30:00.0	16.49
07/18/06	16:00:00.0	16.22
07/18/06	16:30:00.0	16.4
07/18/06	17:00:00.0	16.22
07/18/06	17:30:00.0	16.31
07/18/06	18:00:00.0	16.4
07/18/06	18:30:00.0	16.58
07/18/06	19:00:00.0	16.58
07/18/06	19:30:00.0	16.49
07/18/06	20:00:00.0	16.31
07/18/06	20:30:00.0	16.4
07/18/06	21:00:00.0	16.49
07/18/06	21:30:00.0	16.31
07/18/06	22:00:00.0	16.4
07/18/06	22:30:00.0	16.67
07/18/06	23:00:00.0	16.84
07/18/06	23:30:00.0	16.84
07/19/06	00:00:00.0	16.22
07/19/06	00:30:00.0	15.88
07/19/06	01:00:00.0	15.36
07/19/06	01:30:00.0	15.18
07/19/06	02:00:00.0	15.27
07/19/06	02:30:00.0	15.27
07/19/06	03:00:00.0	16.49
07/19/06	03:30:00.0	16.84
07/19/06	04:00:00.0	15.27
07/19/06	04:30:00.0	14.75
07/19/06	05:00:00.0	15.01
07/19/06	05:30:00.0	14.48
07/19/06	06:00:00.0	14.14
07/19/06	06:30:00.0	14.31
07/19/06	07:00:00.0	14.23
07/19/06	07:30:00.0	14.57
07/19/06	08:00:00.0	14.4
07/19/06	08:30:00.0	14.66
07/19/06	09:00:00.0	15.79
07/19/06	09:30:00.0	16.4
07/19/06	10:00:00.0	16.22
07/19/06	10:30:00.0	16.31
07/19/06	11:00:00.0	16.4
07/19/06	11:30:00.0	16.67
07/19/06	12:00:00.0	16.49
07/19/06	12:30:00.0	16.22
07/19/06	13:00:00.0	15.79
07/19/06	13:30:00.0	15.71
07/19/06	14:00:00.0	15.62
07/19/06	14:30:00.0	16.14
07/19/06	15:00:00.0	16.84
07/19/06	15:30:00.0	17.02
07/19/06	16:00:00.0	17.11
07/19/06	16:30:00.0	17.02
07/19/06	17:00:00.0	16.49
07/19/06	17:30:00.0	16.22
07/19/06	18:00:00.0	15.44
07/19/06	18:30:00.0	16.14
07/19/06	19:00:00.0	16.49
07/19/06	19:30:00.0	16.76
07/19/06	20:00:00.0	17.11
07/19/06	20:30:00.0	17.11
07/19/06	21:00:00.0	17.2
07/19/06	21:30:00.0	17.02
07/19/06	22:00:00.0	16.93
07/19/06	22:30:00.0	16.93
07/19/06	23:00:00.0	16.93
07/19/06	23:30:00.0	17.02
07/20/06	00:00:00.0	17.29
07/20/06	00:30:00.0	17.29
07/20/06	01:00:00.0	17.02
07/20/06	01:30:00.0	17.11
07/20/06	02:00:00.0	17.11
07/20/06	02:30:00.0	17.2
07/20/06	03:00:00.0	15.53
07/20/06	03:30:00.0	15.62
07/20/06	04:00:00.0	15.18
07/20/06	04:30:00.0	15.36
07/20/06	05:00:00.0	15.44
07/20/06	05:30:00.0	15.79
07/20/06	06:00:00.0	16.31
07/20/06	06:30:00.0	16.31
07/20/06	07:00:00.0	16.4
07/20/06	07:30:00.0	16.4
07/20/06	08:00:00.0	15.79
07/20/06	08:30:00.0	15.09
07/20/06	09:00:00.0	14.75
07/20/06	09:30:00.0	14.4
07/20/06	10:00:00.0	15.62
07/20/06	10:30:00.0	15.62
07/20/06	11:00:00.0	15.62
07/20/06	11:30:00.0	16.31
07/20/06	12:00:00.0	16.58
07/20/06	12:30:00.0	16.4
07/20/06	13:00:00.0	16.31
07/20/06	13:30:00.0	16.4
07/20/06	14:00:00.0	16.14
07/20/06	14:30:00.0	16.49
07/20/06	15:00:00.0	16.58
07/20/06	15:30:00.0	16.67
07/20/06	16:00:00.0	16.84
07/20/06	16:30:00.0	17.2
07/20/06	17:00:00.0	17.38
07/20/06	17:30:00.0	17.47
07/20/06	18:00:00.0	17.47
07/20/06	18:30:00.0	16.93
07/20/06	19:00:00.0	16.84
07/20/06	19:30:00.0	16.93
07/20/06	20:00:00.0	17.11
07/20/06	20:30:00.0	17.29
07/20/06	21:00:00.0	17.47
07/20/06	21:30:00.0	17.11
07/20/06	22:00:00.0	16.76
07/20/06	22:30:00.0	17.11
07/20/06	23:00:00.0	17.2
07/20/06	23:30:00.0	17.64
07/21/06	00:00:00.0	17.64
07/21/06	00:30:00.0	17.82
07/21/06	01:00:00.0	17.82
07/21/06	01:30:00.0	17.82
07/21/06	02:00:00.0	18
07/21/06	02:30:00.0	17.82
07/21/06	03:00:00.0	17.64
07/21/06	03:30:00.0	17.64
07/21/06	04:00:00.0	17.2
07/21/06	04:30:00.0	15.71
07/21/06	05:00:00.0	15.53
07/21/06	05:30:00.0	15.62
07/21/06	06:00:00.0	15.44
07/21/06	06:30:00.0	15.18
07/21/06	07:00:00.0	15.09
07/21/06	07:30:00.0	15.01
07/21/06	08:00:00.0	15.01
07/21/06	08:30:00.0	15.18
07/21/06	09:00:00.0	15.53
07/21/06	09:30:00.0	15.44
07/21/06	10:00:00.0	15.53
07/21/06	10:30:00.0	15.53
07/21/06	11:00:00.0	15.62
07/21/06	11:30:00.0	15.71
07/21/06	12:00:00.0	15.62
07/21/06	12:30:00.0	15.79
07/21/06	13:00:00.0	16.05
07/21/06	13:30:00.0	16.4
07/21/06	14:00:00.0	16.14
07/21/06	14:30:00.0	16.05
07/21/06	15:00:00.0	16.14
07/21/06	15:30:00.0	16.31
07/21/06	16:00:00.0	16.4
07/21/06	16:30:00.0	15.71
07/21/06	17:00:00.0	16.14
07/21/06	17:30:00.0	16.31
07/21/06	18:00:00.0	16.14
07/21/06	18:30:00.0	16.31
07/21/06	19:00:00.0	16.4
07/21/06	19:30:00.0	16.4
07/21/06	20:00:00.0	16.49
07/21/06	20:30:00.0	16.67
07/21/06	21:00:00.0	16.84
07/21/06	21:30:00.0	16.93
07/21/06	22:00:00.0	17.11
07/21/06	22:30:00.0	17.47
07/21/06	23:00:00.0	17.29
07/21/06	23:30:00.0	17.2
07/22/06	00:00:00.0	17.29
07/22/06	00:30:00.0	17.38
07/22/06	01:00:00.0	17.11
07/22/06	01:30:00.0	16.14
07/22/06	02:00:00.0	15.18
07/22/06	02:30:00.0	15.44
07/22/06	03:00:00.0	15.53
07/22/06	03:30:00.0	16.22
07/22/06	04:00:00.0	15.79
07/22/06	04:30:00.0	14.92
07/22/06	05:00:00.0	14.57
07/22/06	05:30:00.0	14.48
07/22/06	06:00:00.0	14.75
07/22/06	06:30:00.0	15.01
07/22/06	07:00:00.0	15.36
07/22/06	07:30:00.0	15.44
07/22/06	08:00:00.0	15.36
07/22/06	08:30:00.0	16.58
07/22/06	09:00:00.0	16.84
07/22/06	09:30:00.0	16.22
07/22/06	10:00:00.0	16.14
07/22/06	10:30:00.0	16.05
07/22/06	11:00:00.0	15.88
07/22/06	11:30:00.0	16.14
07/22/06	12:00:00.0	15.79
07/22/06	12:30:00.0	16.22
07/22/06	13:00:00.0	16.22
07/22/06	13:30:00.0	16.14
07/22/06	14:00:00.0	15.71
07/22/06	14:30:00.0	15.79
07/22/06	15:00:00.0	16.4
07/22/06	15:30:00.0	16.4
07/22/06	16:00:00.0	16.84
07/22/06	16:30:00.0	16.31
07/22/06	17:00:00.0	16.14
07/22/06	17:30:00.0	16.49
07/22/06	18:00:00.0	15.88
07/22/06	18:30:00.0	15.96
07/22/06	19:00:00.0	16.05
07/22/06	19:30:00.0	16.14
07/22/06	20:00:00.0	16.4
07/22/06	20:30:00.0	16.58
07/22/06	21:00:00.0	16.76
07/22/06	21:30:00.0	16.84
07/22/06	22:00:00.0	16.67
07/22/06	22:30:00.0	17.47
07/22/06	23:00:00.0	17.64
07/22/06	23:30:00.0	17.91
07/23/06	00:00:00.0	17.91
07/23/06	00:30:00.0	18.36
07/23/06	01:00:00.0	18.18
07/23/06	01:30:00.0	18.72
07/23/06	02:00:00.0	18.81
07/23/06	02:30:00.0	19.25
07/23/06	03:00:00.0	18.62
07/23/06	03:30:00.0	17.2
07/23/06	04:00:00.0	16.76
07/23/06	04:30:00.0	15.96
07/23/06	05:00:00.0	15.36
07/23/06	05:30:00.0	15.44
07/23/06	06:00:00.0	15.71
07/23/06	06:30:00.0	16.05
07/23/06	07:00:00.0	16.93
07/23/06	07:30:00.0	16.84
07/23/06	08:00:00.0	17.11
07/23/06	08:30:00.0	16.76
07/23/06	09:00:00.0	16.49
07/23/06	09:30:00.0	16.76
07/23/06	10:00:00.0	16.76
07/23/06	10:30:00.0	17.02
07/23/06	11:00:00.0	16.76
07/23/06	11:30:00.0	16.76
07/23/06	12:00:00.0	17.29
07/23/06	12:30:00.0	17.2
07/23/06	13:00:00.0	17.38
07/23/06	13:30:00.0	17.38
07/23/06	14:00:00.0	17.11
07/23/06	14:30:00.0	16.31
07/23/06	15:00:00.0	16.58
07/23/06	15:30:00.0	17.11
07/23/06	16:00:00.0	16.76
07/23/06	16:30:00.0	16.76
07/23/06	17:00:00.0	17.38
07/23/06	17:30:00.0	17.38
07/23/06	18:00:00.0	17.56
07/23/06	18:30:00.0	17.38
07/23/06	19:00:00.0	17.47
07/23/06	19:30:00.0	17.29
07/23/06	20:00:00.0	17.2
07/23/06	20:30:00.0	17.11
07/23/06	21:00:00.0	16.93
07/23/06	21:30:00.0	16.22
07/23/06	22:00:00.0	16.31
07/23/06	22:30:00.0	16.31
07/23/06	23:00:00.0	15.62
07/23/06	23:30:00.0	15.44
07/24/06	00:00:00.0	14.92
07/24/06	00:30:00.0	15.01
07/24/06	01:00:00.0	15.18
07/24/06	01:30:00.0	15.62
07/24/06	02:00:00.0	15.79
07/24/06	02:30:00.0	15.79
07/24/06	03:00:00.0	16.14
07/24/06	03:30:00.0	16.4
07/24/06	04:00:00.0	15.79
07/24/06	04:30:00.0	15.36
07/24/06	05:00:00.0	14.83
07/24/06	05:30:00.0	14.57
07/24/06	06:00:00.0	14.57
07/24/06	06:30:00.0	15.36
07/24/06	07:00:00.0	15.18
07/24/06	07:30:00.0	16.4
07/24/06	08:00:00.0	17.29
07/24/06	08:30:00.0	16.84
07/24/06	09:00:00.0	17.11
07/24/06	09:30:00.0	15.88
07/24/06	10:00:00.0	15.96
07/24/06	10:30:00.0	16.14
07/24/06	11:00:00.0	16.31
07/24/06	11:30:00.0	16.49
07/24/06	12:00:00.0	17.11
07/24/06	12:30:00.0	17.38
07/24/06	13:00:00.0	17.29
07/24/06	13:30:00.0	15.88
07/24/06	14:00:00.0	16.58
07/24/06	14:30:00.0	16.84
07/24/06	15:00:00.0	18.62
07/24/06	15:30:00.0	17.38
07/24/06	16:00:00.0	17.47
07/24/06	16:30:00.0	17.82
07/24/06	17:00:00.0	17.11
07/24/06	17:30:00.0	16.76
07/24/06	18:00:00.0	16.14
07/24/06	18:30:00.0	16.49
07/24/06	19:00:00.0	16.67
07/24/06	19:30:00.0	16.31
07/24/06	20:00:00.0	16.4
07/24/06	20:30:00.0	15.79
07/24/06	21:00:00.0	16.49
07/24/06	21:30:00.0	16.76
07/24/06	22:00:00.0	17.29
07/24/06	22:30:00.0	16.76
07/24/06	23:00:00.0	16.14
07/24/06	23:30:00.0	16.49
07/25/06	00:00:00.0	17.64
07/25/06	00:30:00.0	17.47
07/25/06	01:00:00.0	17.91
07/25/06	01:30:00.0	17.91
07/25/06	02:00:00.0	17.64
07/25/06	02:30:00.0	17.82
07/25/06	03:00:00.0	18.18
07/25/06	03:30:00.0	18.53
07/25/06	04:00:00.0	18.53
07/25/06	04:30:00.0	17.56
07/25/06	05:00:00.0	15.79
07/25/06	05:30:00.0	16.4
07/25/06	06:00:00.0	16.31
07/25/06	06:30:00.0	15.18
07/25/06	07:00:00.0	15.01
07/25/06	07:30:00.0	15.96
07/25/06	08:00:00.0	16.31
07/25/06	08:30:00.0	17.56
07/25/06	09:00:00.0	17.38
07/25/06	09:30:00.0	17.47
07/25/06	10:00:00.0	18
07/25/06	10:30:00.0	18.18
07/25/06	11:00:00.0	17.2
07/25/06	11:30:00.0	16.22
07/25/06	12:00:00.0	16.49
07/25/06	12:30:00.0	17.47
07/25/06	13:00:00.0	19.25
07/25/06	13:30:00.0	18.98
07/25/06	14:00:00.0	19.25
07/25/06	14:30:00.0	19.43
07/25/06	15:00:00.0	18.36
07/25/06	15:30:00.0	17.29
07/25/06	16:00:00.0	18.18
07/25/06	16:30:00.0	18.27
07/25/06	17:00:00.0	17.11
07/25/06	17:30:00.0	16.76
07/25/06	18:00:00.0	17.47
07/25/06	18:30:00.0	19.07
07/25/06	19:00:00.0	19.43
