Date	Time	Temperature   (*C)
12/08/08	16:15:00.0	14.96
12/08/08	16:45:00.0	13.49
12/08/08	17:15:00.0	13.67
12/08/08	17:45:00.0	14.1
12/08/08	18:15:00.0	14.36
12/08/08	18:45:00.0	14.53
12/08/08	19:15:00.0	14.01
12/08/08	19:45:00.0	15.22
12/08/08	20:15:00.0	15.31
12/08/08	20:45:00.0	15.31
12/08/08	21:15:00.0	15.4
12/08/08	21:45:00.0	15.4
12/08/08	22:15:00.0	15.4
12/08/08	22:45:00.0	15.31
12/08/08	23:15:00.0	15.31
12/08/08	23:45:00.0	15.22
12/09/08	00:15:00.0	15.22
12/09/08	00:45:00.0	15.22
12/09/08	01:15:00.0	15.22
12/09/08	01:45:00.0	15.22
12/09/08	02:15:00.0	15.22
12/09/08	02:45:00.0	15.14
12/09/08	03:15:00.0	15.14
12/09/08	03:45:00.0	15.14
12/09/08	04:15:00.0	15.22
12/09/08	04:45:00.0	15.14
12/09/08	05:15:00.0	15.14
12/09/08	05:45:00.0	15.14
12/09/08	06:15:00.0	14.96
12/09/08	06:45:00.0	14.96
12/09/08	07:15:00.0	14.96
12/09/08	07:45:00.0	14.96
12/09/08	08:15:00.0	14.96
12/09/08	08:45:00.0	14.96
12/09/08	09:15:00.0	14.88
12/09/08	09:45:00.0	14.79
12/09/08	10:15:00.0	14.53
12/09/08	10:45:00.0	14.62
12/09/08	11:15:00.0	14.44
12/09/08	11:45:00.0	14.36
12/09/08	12:15:00.0	14.18
12/09/08	12:45:00.0	14.1
12/09/08	13:15:00.0	14.1
12/09/08	13:45:00.0	14.1
12/09/08	14:15:00.0	14.1
12/09/08	14:45:00.0	14.1
12/09/08	15:15:00.0	14.18
12/09/08	15:45:00.0	14.36
12/09/08	16:15:00.0	14.44
12/09/08	16:45:00.0	14.53
12/09/08	17:15:00.0	14.53
12/09/08	17:45:00.0	14.62
12/09/08	18:15:00.0	14.7
12/09/08	18:45:00.0	14.7
12/09/08	19:15:00.0	14.79
12/09/08	19:45:00.0	14.88
12/09/08	20:15:00.0	14.88
12/09/08	20:45:00.0	14.96
12/09/08	21:15:00.0	14.96
12/09/08	21:45:00.0	14.96
12/09/08	22:15:00.0	15.05
12/09/08	22:45:00.0	15.14
12/09/08	23:15:00.0	15.05
12/09/08	23:45:00.0	15.05
12/10/08	00:15:00.0	15.05
12/10/08	00:45:00.0	14.96
12/10/08	01:15:00.0	14.96
12/10/08	01:45:00.0	14.88
12/10/08	02:15:00.0	14.88
12/10/08	02:45:00.0	14.96
12/10/08	03:15:00.0	14.96
12/10/08	03:45:00.0	14.88
12/10/08	04:15:00.0	14.88
12/10/08	04:45:00.0	14.88
12/10/08	05:15:00.0	14.88
12/10/08	05:45:00.0	14.96
12/10/08	06:15:00.0	14.96
12/10/08	06:45:00.0	14.96
12/10/08	07:15:00.0	14.96
12/10/08	07:45:00.0	14.96
12/10/08	08:15:00.0	14.96
12/10/08	08:45:00.0	14.88
12/10/08	09:15:00.0	14.88
12/10/08	09:45:00.0	14.88
12/10/08	10:15:00.0	14.88
12/10/08	10:45:00.0	14.88
12/10/08	11:15:00.0	14.79
12/10/08	11:45:00.0	14.79
12/10/08	12:15:00.0	14.79
12/10/08	12:45:00.0	14.79
12/10/08	13:15:00.0	14.79
12/10/08	13:45:00.0	14.79
12/10/08	14:15:00.0	14.62
12/10/08	14:45:00.0	14.62
12/10/08	15:15:00.0	14.62
12/10/08	15:45:00.0	14.7
12/10/08	16:15:00.0	14.79
12/10/08	16:45:00.0	14.79
12/10/08	17:15:00.0	14.79
12/10/08	17:45:00.0	14.79
12/10/08	18:15:00.0	14.79
12/10/08	18:45:00.0	14.88
12/10/08	19:15:00.0	14.88
12/10/08	19:45:00.0	14.88
12/10/08	20:15:00.0	14.88
12/10/08	20:45:00.0	14.79
12/10/08	21:15:00.0	14.88
