Date	Time	Temperature   (*C)
07/14/09	12:15:00.0	12.93
07/14/09	12:45:00.0	13.11
07/14/09	13:15:00.0	13.02
07/14/09	13:45:00.0	13.02
07/14/09	14:15:00.0	13.11
07/14/09	14:45:00.0	13.19
07/14/09	15:15:00.0	12.93
07/14/09	15:45:00.0	12.85
07/14/09	16:15:00.0	12.85
07/14/09	16:45:00.0	13.11
07/14/09	17:15:00.0	13.44
07/14/09	17:45:00.0	13.19
07/14/09	18:15:00.0	13.19
07/14/09	18:45:00.0	13.11
07/14/09	19:15:00.0	13.19
07/14/09	19:45:00.0	13.27
07/14/09	20:15:00.0	13.19
07/14/09	20:45:00.0	13.11
07/14/09	21:15:00.0	13.11
07/14/09	21:45:00.0	13.11
07/14/09	22:15:00.0	12.93
07/14/09	22:45:00.0	12.85
07/14/09	23:15:00.0	12.85
07/14/09	23:45:00.0	12.85
07/15/09	00:15:00.0	12.85
07/15/09	00:45:00.0	12.85
07/15/09	01:15:00.0	12.93
07/15/09	01:45:00.0	12.93
07/15/09	02:15:00.0	12.85
07/15/09	02:45:00.0	12.85
07/15/09	03:15:00.0	12.59
07/15/09	03:45:00.0	12.59
07/15/09	04:15:00.0	12.68
07/15/09	04:45:00.0	12.85
07/15/09	05:15:00.0	12.93
07/15/09	05:45:00.0	12.85
07/15/09	06:15:00.0	12.85
07/15/09	06:45:00.0	12.76
07/15/09	07:15:00.0	12.85
07/15/09	07:45:00.0	12.93
07/15/09	08:15:00.0	12.85
07/15/09	08:45:00.0	13.44
07/15/09	09:15:00.0	13.36
07/15/09	09:45:00.0	13.61
07/15/09	10:15:00.0	13.87
07/15/09	10:45:00.0	14.3
07/15/09	11:15:00.0	15.6
07/15/09	11:45:00.0	15.26
07/15/09	12:15:00.0	14.91
07/15/09	12:45:00.0	14.56
07/15/09	13:15:00.0	14.04
07/15/09	13:45:00.0	13.7
07/15/09	14:15:00.0	13.53
07/15/09	14:45:00.0	13.19
07/15/09	15:15:00.0	13.19
07/15/09	15:45:00.0	13.19
07/15/09	16:15:00.0	13.19
07/15/09	16:45:00.0	13.61
07/15/09	17:15:00.0	13.78
07/15/09	17:45:00.0	13.78
07/15/09	18:15:00.0	13.7
07/15/09	18:45:00.0	13.36
07/15/09	19:15:00.0	13.02
07/15/09	19:45:00.0	12.68
07/15/09	20:15:00.0	12.76
07/15/09	20:45:00.0	12.85
07/15/09	21:15:00.0	13.11
07/15/09	21:45:00.0	13.44
07/15/09	22:15:00.0	13.36
07/15/09	22:45:00.0	13.44
07/15/09	23:15:00.0	13.44
07/15/09	23:45:00.0	13.44
07/16/09	00:15:00.0	13.36
07/16/09	00:45:00.0	13.36
07/16/09	01:15:00.0	13.27
07/16/09	01:45:00.0	13.36
07/16/09	02:15:00.0	13.44
07/16/09	02:45:00.0	13.44
07/16/09	03:15:00.0	13.36
07/16/09	03:45:00.0	13.36
07/16/09	04:15:00.0	13.36
07/16/09	04:45:00.0	13.61
07/16/09	05:15:00.0	13.44
07/16/09	05:45:00.0	13.44
07/16/09	06:15:00.0	13.44
07/16/09	06:45:00.0	13.53
07/16/09	07:15:00.0	13.44
07/16/09	07:45:00.0	13.44
07/16/09	08:15:00.0	13.53
07/16/09	08:45:00.0	13.61
07/16/09	09:15:00.0	13.87
07/16/09	09:45:00.0	14.3
07/16/09	10:15:00.0	14.04
07/16/09	10:45:00.0	14.12
07/16/09	11:15:00.0	14.04
07/16/09	11:45:00.0	14.04
07/16/09	12:15:00.0	14.38
07/16/09	12:45:00.0	14.47
07/16/09	13:15:00.0	14.47
07/16/09	13:45:00.0	14.38
07/16/09	14:15:00.0	14.21
07/16/09	14:45:00.0	14.04
07/16/09	15:15:00.0	14.12
07/16/09	15:45:00.0	14.3
07/16/09	16:15:00.0	14.12
07/16/09	16:45:00.0	13.78
07/16/09	17:15:00.0	13.19
07/16/09	17:45:00.0	12.93
07/16/09	18:15:00.0	12.93
07/16/09	18:45:00.0	12.76
07/16/09	19:15:00.0	12.76
07/16/09	19:45:00.0	12.85
07/16/09	20:15:00.0	12.85
07/16/09	20:45:00.0	12.85
07/16/09	21:15:00.0	12.85
07/16/09	21:45:00.0	13.19
07/16/09	22:15:00.0	13.19
07/16/09	22:45:00.0	13.11
07/16/09	23:15:00.0	13.02
07/16/09	23:45:00.0	13.02
07/17/09	00:15:00.0	13.11
07/17/09	00:45:00.0	13.02
07/17/09	01:15:00.0	13.02
07/17/09	01:45:00.0	13.19
07/17/09	02:15:00.0	13.36
07/17/09	02:45:00.0	13.53
07/17/09	03:15:00.0	13.36
07/17/09	03:45:00.0	13.19
07/17/09	04:15:00.0	13.19
07/17/09	04:45:00.0	13.53
07/17/09	05:15:00.0	14.04
07/17/09	05:45:00.0	14.12
07/17/09	06:15:00.0	14.56
07/17/09	06:45:00.0	14.82
07/17/09	07:15:00.0	15.08
07/17/09	07:45:00.0	15.17
07/17/09	08:15:00.0	15.17
07/17/09	08:45:00.0	15.26
07/17/09	09:15:00.0	15.26
07/17/09	09:45:00.0	15.17
07/17/09	10:15:00.0	15.17
07/17/09	10:45:00.0	15.17
07/17/09	11:15:00.0	15.17
07/17/09	11:45:00.0	15.26
07/17/09	12:15:00.0	15.34
07/17/09	12:45:00.0	15.34
07/17/09	13:15:00.0	15.34
07/17/09	13:45:00.0	15.26
07/17/09	14:15:00.0	15.26
07/17/09	14:45:00.0	15.34
07/17/09	15:15:00.0	15.34
07/17/09	15:45:00.0	15.26
07/17/09	16:15:00.0	15.34
07/17/09	16:45:00.0	15.26
07/17/09	17:15:00.0	15.26
07/17/09	17:45:00.0	15.17
07/17/09	18:15:00.0	15.17
07/17/09	18:45:00.0	14.99
07/17/09	19:15:00.0	14.91
07/17/09	19:45:00.0	14.82
07/17/09	20:15:00.0	14.73
07/17/09	20:45:00.0	14.56
07/17/09	21:15:00.0	14.38
07/17/09	21:45:00.0	14.3
07/17/09	22:15:00.0	14.47
07/17/09	22:45:00.0	14.47
07/17/09	23:15:00.0	14.65
07/17/09	23:45:00.0	14.73
07/18/09	00:15:00.0	14.73
07/18/09	00:45:00.0	14.73
07/18/09	01:15:00.0	14.73
07/18/09	01:45:00.0	14.65
07/18/09	02:15:00.0	14.65
07/18/09	02:45:00.0	14.65
07/18/09	03:15:00.0	14.99
07/18/09	03:45:00.0	15.52
07/18/09	04:15:00.0	15.6
07/18/09	04:45:00.0	15.77
07/18/09	05:15:00.0	15.69
07/18/09	05:45:00.0	15.69
07/18/09	06:15:00.0	15.69
07/18/09	06:45:00.0	15.69
07/18/09	07:15:00.0	15.69
07/18/09	07:45:00.0	15.69
07/18/09	08:15:00.0	15.69
07/18/09	08:45:00.0	15.77
07/18/09	09:15:00.0	15.77
07/18/09	09:45:00.0	15.77
07/18/09	10:15:00.0	15.69
07/18/09	10:45:00.0	15.6
07/18/09	11:15:00.0	15.6
07/18/09	11:45:00.0	15.43
07/18/09	12:15:00.0	15.34
07/18/09	12:45:00.0	15.52
07/18/09	13:15:00.0	15.6
07/18/09	13:45:00.0	15.6
07/18/09	14:15:00.0	15.69
07/18/09	14:45:00.0	15.69
07/18/09	15:15:00.0	15.6
07/18/09	15:45:00.0	15.77
07/18/09	16:15:00.0	15.77
07/18/09	16:45:00.0	15.77
07/18/09	17:15:00.0	15.69
07/18/09	17:45:00.0	15.43
07/18/09	18:15:00.0	15.08
07/18/09	18:45:00.0	14.99
07/18/09	19:15:00.0	14.91
07/18/09	19:45:00.0	14.73
07/18/09	20:15:00.0	14.73
07/18/09	20:45:00.0	14.73
07/18/09	21:15:00.0	14.73
07/18/09	21:45:00.0	14.82
07/18/09	22:15:00.0	14.91
07/18/09	22:45:00.0	14.82
07/18/09	23:15:00.0	14.82
07/18/09	23:45:00.0	14.82
07/19/09	00:15:00.0	14.91
07/19/09	00:45:00.0	14.82
07/19/09	01:15:00.0	15.08
07/19/09	01:45:00.0	15.34
07/19/09	02:15:00.0	15.43
07/19/09	02:45:00.0	15.43
07/19/09	03:15:00.0	15.43
07/19/09	03:45:00.0	15.43
07/19/09	04:15:00.0	15.34
07/19/09	04:45:00.0	15.17
07/19/09	05:15:00.0	15.08
07/19/09	05:45:00.0	15.08
07/19/09	06:15:00.0	14.99
07/19/09	06:45:00.0	14.91
07/19/09	07:15:00.0	14.91
07/19/09	07:45:00.0	14.91
07/19/09	08:15:00.0	14.91
07/19/09	08:45:00.0	14.99
07/19/09	09:15:00.0	14.99
07/19/09	09:45:00.0	15.08
07/19/09	10:15:00.0	15.08
07/19/09	10:45:00.0	15.26
07/19/09	11:15:00.0	15.34
07/19/09	11:45:00.0	15.43
07/19/09	12:15:00.0	15.52
07/19/09	12:45:00.0	15.6
07/19/09	13:15:00.0	15.6
07/19/09	13:45:00.0	15.69
07/19/09	14:15:00.0	15.69
07/19/09	14:45:00.0	15.34
07/19/09	15:15:00.0	15.43
07/19/09	15:45:00.0	15.34
07/19/09	16:15:00.0	15.17
07/19/09	16:45:00.0	14.91
07/19/09	17:15:00.0	14.73
07/19/09	17:45:00.0	14.91
07/19/09	18:15:00.0	14.91
07/19/09	18:45:00.0	14.91
07/19/09	19:15:00.0	14.82
07/19/09	19:45:00.0	14.82
07/19/09	20:15:00.0	14.82
07/19/09	20:45:00.0	14.73
07/19/09	21:15:00.0	14.56
07/19/09	21:45:00.0	14.47
07/19/09	22:15:00.0	13.95
07/19/09	22:45:00.0	14.3
07/19/09	23:15:00.0	14.3
07/19/09	23:45:00.0	14.47
07/20/09	00:15:00.0	14.21
07/20/09	00:45:00.0	14.21
07/20/09	01:15:00.0	14.3
07/20/09	01:45:00.0	14.65
07/20/09	02:15:00.0	14.91
07/20/09	02:45:00.0	14.91
07/20/09	03:15:00.0	14.21
07/20/09	03:45:00.0	14.3
07/20/09	04:15:00.0	14.91
07/20/09	04:45:00.0	15.26
07/20/09	05:15:00.0	15.17
07/20/09	05:45:00.0	15.08
07/20/09	06:15:00.0	14.65
07/20/09	06:45:00.0	14.38
07/20/09	07:15:00.0	14.3
07/20/09	07:45:00.0	14.82
07/20/09	08:15:00.0	14.99
07/20/09	08:45:00.0	15.26
07/20/09	09:15:00.0	15.6
07/20/09	09:45:00.0	15.6
07/20/09	10:15:00.0	15.26
07/20/09	10:45:00.0	15.26
07/20/09	11:15:00.0	14.65
07/20/09	11:45:00.0	15.34
07/20/09	12:15:00.0	15.69
07/20/09	12:45:00.0	15.86
07/20/09	13:15:00.0	16.03
07/20/09	13:45:00.0	16.21
07/20/09	14:15:00.0	15.77
07/20/09	14:45:00.0	15.43
07/20/09	15:15:00.0	15.17
07/20/09	15:45:00.0	15.34
07/20/09	16:15:00.0	15.6
07/20/09	16:45:00.0	15.34
07/20/09	17:15:00.0	15.17
07/20/09	17:45:00.0	15.17
07/20/09	18:15:00.0	14.91
07/20/09	18:45:00.0	14.38
07/20/09	19:15:00.0	14.3
07/20/09	19:45:00.0	13.95
07/20/09	20:15:00.0	13.02
07/20/09	20:45:00.0	12.85
07/20/09	21:15:00.0	12.85
07/20/09	21:45:00.0	12.68
07/20/09	22:15:00.0	12.68
07/20/09	22:45:00.0	12.59
07/20/09	23:15:00.0	12.59
07/20/09	23:45:00.0	12.59
07/21/09	00:15:00.0	12.68
07/21/09	00:45:00.0	12.68
07/21/09	01:15:00.0	12.68
07/21/09	01:45:00.0	12.68
07/21/09	02:15:00.0	13.44
07/21/09	02:45:00.0	13.78
07/21/09	03:15:00.0	13.78
07/21/09	03:45:00.0	13.87
07/21/09	04:15:00.0	13.78
07/21/09	04:45:00.0	14.04
07/21/09	05:15:00.0	13.87
07/21/09	05:45:00.0	14.65
07/21/09	06:15:00.0	14.12
07/21/09	06:45:00.0	14.82
07/21/09	07:15:00.0	14.91
07/21/09	07:45:00.0	14.12
07/21/09	08:15:00.0	14.04
07/21/09	08:45:00.0	14.47
07/21/09	09:15:00.0	14.47
07/21/09	09:45:00.0	14.12
07/21/09	10:15:00.0	13.95
07/21/09	10:45:00.0	13.53
07/21/09	11:15:00.0	13.36
07/21/09	11:45:00.0	13.27
07/21/09	12:15:00.0	13.27
07/21/09	12:45:00.0	13.27
07/21/09	13:15:00.0	13.36
07/21/09	13:45:00.0	13.36
07/21/09	14:15:00.0	13.36
07/21/09	14:45:00.0	13.87
07/21/09	15:15:00.0	14.56
07/21/09	15:45:00.0	13.95
07/21/09	16:15:00.0	13.95
07/21/09	16:45:00.0	14.99
07/21/09	17:15:00.0	14.21
07/21/09	17:45:00.0	14.21
07/21/09	18:15:00.0	14.47
07/21/09	18:45:00.0	14.56
07/21/09	19:15:00.0	14.56
07/21/09	19:45:00.0	14.56
07/21/09	20:15:00.0	14.65
07/21/09	20:45:00.0	14.38
07/21/09	21:15:00.0	14.12
07/21/09	21:45:00.0	13.87
07/21/09	22:15:00.0	13.87
07/21/09	22:45:00.0	13.95
07/21/09	23:15:00.0	14.12
07/21/09	23:45:00.0	14.47
07/22/09	00:15:00.0	13.53
07/22/09	00:45:00.0	13.53
07/22/09	01:15:00.0	13.87
07/22/09	01:45:00.0	13.44
07/22/09	02:15:00.0	13.53
07/22/09	02:45:00.0	13.44
07/22/09	03:15:00.0	13.53
07/22/09	03:45:00.0	13.53
07/22/09	04:15:00.0	13.53
07/22/09	04:45:00.0	15.17
07/22/09	05:15:00.0	15.34
07/22/09	05:45:00.0	15.43
07/22/09	06:15:00.0	15.08
07/22/09	06:45:00.0	14.73
07/22/09	07:15:00.0	14.99
07/22/09	07:45:00.0	15.26
07/22/09	08:15:00.0	14.99
07/22/09	08:45:00.0	14.82
07/22/09	09:15:00.0	14.56
07/22/09	09:45:00.0	15.08
07/22/09	10:15:00.0	15.34
07/22/09	10:45:00.0	14.99
07/22/09	11:15:00.0	15.6
07/22/09	11:45:00.0	15.43
07/22/09	12:15:00.0	15.77
07/22/09	12:45:00.0	15.52
07/22/09	13:15:00.0	15.26
07/22/09	13:45:00.0	15.34
07/22/09	14:15:00.0	15.43
07/22/09	14:45:00.0	15.6
07/22/09	15:15:00.0	15.43
07/22/09	15:45:00.0	15.69
07/22/09	16:15:00.0	15.77
07/22/09	16:45:00.0	15.34
07/22/09	17:15:00.0	15.34
07/22/09	17:45:00.0	15.08
07/22/09	18:15:00.0	14.73
07/22/09	18:45:00.0	14.56
07/22/09	19:15:00.0	14.56
07/22/09	19:45:00.0	14.47
07/22/09	20:15:00.0	14.65
07/22/09	20:45:00.0	14.04
07/22/09	21:15:00.0	13.95
07/22/09	21:45:00.0	13.78
07/22/09	22:15:00.0	13.61
07/22/09	22:45:00.0	13.19
07/22/09	23:15:00.0	13.11
07/22/09	23:45:00.0	13.19
07/23/09	00:15:00.0	13.27
07/23/09	00:45:00.0	13.36
07/23/09	01:15:00.0	13.19
07/23/09	01:45:00.0	13.27
07/23/09	02:15:00.0	13.36
07/23/09	02:45:00.0	13.27
07/23/09	03:15:00.0	13.27
07/23/09	03:45:00.0	13.19
07/23/09	04:15:00.0	13.19
07/23/09	04:45:00.0	13.19
07/23/09	05:15:00.0	13.19
07/23/09	05:45:00.0	13.7
07/23/09	06:15:00.0	15.34
07/23/09	06:45:00.0	15.17
07/23/09	07:15:00.0	14.99
07/23/09	07:45:00.0	14.99
07/23/09	08:15:00.0	15.17
07/23/09	08:45:00.0	16.12
07/23/09	09:15:00.0	15.77
07/23/09	09:45:00.0	15.94
07/23/09	10:15:00.0	16.21
07/23/09	10:45:00.0	15.86
07/23/09	11:15:00.0	16.03
07/23/09	11:45:00.0	16.12
07/23/09	12:15:00.0	16.12
07/23/09	12:45:00.0	16.03
07/23/09	13:15:00.0	15.26
07/23/09	13:45:00.0	15.17
07/23/09	14:15:00.0	15.26
07/23/09	14:45:00.0	15.26
07/23/09	15:15:00.0	15.52
07/23/09	15:45:00.0	15.6
07/23/09	16:15:00.0	15.43
07/23/09	16:45:00.0	14.73
07/23/09	17:15:00.0	14.56
07/23/09	17:45:00.0	14.56
07/23/09	18:15:00.0	14.56
07/23/09	18:45:00.0	15.17
07/23/09	19:15:00.0	15.08
07/23/09	19:45:00.0	15.43
07/23/09	20:15:00.0	15.69
07/23/09	20:45:00.0	15.77
07/23/09	21:15:00.0	15.6
07/23/09	21:45:00.0	15.6
07/23/09	22:15:00.0	15.34
07/23/09	22:45:00.0	14.91
07/23/09	23:15:00.0	14.47
07/23/09	23:45:00.0	13.87
07/24/09	00:15:00.0	13.27
07/24/09	00:45:00.0	13.11
07/24/09	01:15:00.0	13.19
07/24/09	01:45:00.0	14.04
07/24/09	02:15:00.0	15.94
07/24/09	02:45:00.0	15.6
07/24/09	03:15:00.0	15.34
07/24/09	03:45:00.0	14.82
07/24/09	04:15:00.0	15.6
07/24/09	04:45:00.0	15.6
07/24/09	05:15:00.0	15.77
07/24/09	05:45:00.0	16.03
07/24/09	06:15:00.0	16.38
07/24/09	06:45:00.0	16.29
07/24/09	07:15:00.0	16.21
07/24/09	07:45:00.0	16.12
07/24/09	08:15:00.0	16.03
07/24/09	08:45:00.0	16.03
07/24/09	09:15:00.0	16.21
07/24/09	09:45:00.0	16.47
07/24/09	10:15:00.0	16.47
07/24/09	10:45:00.0	16.56
07/24/09	11:15:00.0	16.73
07/24/09	11:45:00.0	16.91
07/24/09	12:15:00.0	16.73
07/24/09	12:45:00.0	15.94
07/24/09	13:15:00.0	15.77
07/24/09	13:45:00.0	15.69
07/24/09	14:15:00.0	16.03
07/24/09	14:45:00.0	16.12
07/24/09	15:15:00.0	16.21
07/24/09	15:45:00.0	16.38
07/24/09	16:15:00.0	16.47
07/24/09	16:45:00.0	16.47
07/24/09	17:15:00.0	16.21
07/24/09	17:45:00.0	16.29
07/24/09	18:15:00.0	16.12
07/24/09	18:45:00.0	16.29
07/24/09	19:15:00.0	15.86
07/24/09	19:45:00.0	15.69
07/24/09	20:15:00.0	14.21
07/24/09	20:45:00.0	14.91
07/24/09	21:15:00.0	14.99
07/24/09	21:45:00.0	15.6
07/24/09	22:15:00.0	15.94
07/24/09	22:45:00.0	16.29
07/24/09	23:15:00.0	16.21
07/24/09	23:45:00.0	15.69
07/25/09	00:15:00.0	15.69
07/25/09	00:45:00.0	16.21
07/25/09	01:15:00.0	16.29
07/25/09	01:45:00.0	16.03
07/25/09	02:15:00.0	15.86
07/25/09	02:45:00.0	15.69
07/25/09	03:15:00.0	15.6
07/25/09	03:45:00.0	15.52
07/25/09	04:15:00.0	15.08
07/25/09	04:45:00.0	15.6
07/25/09	05:15:00.0	16.82
07/25/09	05:45:00.0	17.08
07/25/09	06:15:00.0	16.91
07/25/09	06:45:00.0	16.99
07/25/09	07:15:00.0	16.73
07/25/09	07:45:00.0	16.82
07/25/09	08:15:00.0	16.99
07/25/09	08:45:00.0	16.99
07/25/09	09:15:00.0	17.17
