Date	Time	Temperature   (*C)
01/28/10	12:00:00.0	17.46
01/28/10	12:30:00.0	17.54
01/28/10	13:00:00.0	17.46
01/28/10	13:30:00.0	17.46
01/28/10	14:00:00.0	17.46
01/28/10	14:30:00.0	17.46
01/28/10	15:00:00.0	17.46
01/28/10	15:30:00.0	18.44
01/28/10	16:00:00.0	16.76
01/28/10	16:30:00.0	15.44
01/28/10	17:00:00.0	14.5
01/28/10	17:30:00.0	14.76
01/28/10	18:00:00.0	15.19
01/28/10	18:30:00.0	15.97
01/28/10	19:00:00.0	19.33
01/28/10	19:30:00.0	21.04
01/28/10	20:00:00.0	21.67
01/28/10	20:30:00.0	24.09
01/28/10	21:00:00.0	25.14
01/28/10	21:30:00.0	24.95
01/28/10	22:00:00.0	14.41
01/28/10	22:30:00.0	14.41
01/28/10	23:00:00.0	14.41
01/28/10	23:30:00.0	14.5
01/29/10	00:00:00.0	14.58
01/29/10	00:30:00.0	14.5
01/29/10	01:00:00.0	14.5
01/29/10	01:30:00.0	14.5
01/29/10	02:00:00.0	14.5
01/29/10	02:30:00.0	14.5
01/29/10	03:00:00.0	14.5
01/29/10	03:30:00.0	14.58
01/29/10	04:00:00.0	14.58
01/29/10	04:30:00.0	14.58
01/29/10	05:00:00.0	14.5
01/29/10	05:30:00.0	14.5
01/29/10	06:00:00.0	14.5
01/29/10	06:30:00.0	14.5
01/29/10	07:00:00.0	14.41
01/29/10	07:30:00.0	14.41
01/29/10	08:00:00.0	14.41
01/29/10	08:30:00.0	14.41
01/29/10	09:00:00.0	14.41
01/29/10	09:30:00.0	14.41
01/29/10	10:00:00.0	14.41
01/29/10	10:30:00.0	14.41
01/29/10	11:00:00.0	14.5
01/29/10	11:30:00.0	14.5
01/29/10	12:00:00.0	14.5
01/29/10	12:30:00.0	14.5
01/29/10	13:00:00.0	14.5
01/29/10	13:30:00.0	14.5
01/29/10	14:00:00.0	14.5
01/29/10	14:30:00.0	14.5
01/29/10	15:00:00.0	14.5
01/29/10	15:30:00.0	14.5
01/29/10	16:00:00.0	14.5
01/29/10	16:30:00.0	14.5
01/29/10	17:00:00.0	14.5
01/29/10	17:30:00.0	14.5
01/29/10	18:00:00.0	14.5
01/29/10	18:30:00.0	14.5
01/29/10	19:00:00.0	14.5
01/29/10	19:30:00.0	14.5
01/29/10	20:00:00.0	14.58
01/29/10	20:30:00.0	14.58
01/29/10	21:00:00.0	14.58
01/29/10	21:30:00.0	14.67
01/29/10	22:00:00.0	14.76
01/29/10	22:30:00.0	14.76
01/29/10	23:00:00.0	14.76
01/29/10	23:30:00.0	14.67
01/30/10	00:00:00.0	14.67
01/30/10	00:30:00.0	14.67
01/30/10	01:00:00.0	14.58
01/30/10	01:30:00.0	14.58
01/30/10	02:00:00.0	14.58
01/30/10	02:30:00.0	14.58
01/30/10	03:00:00.0	14.58
01/30/10	03:30:00.0	14.5
01/30/10	04:00:00.0	14.5
01/30/10	04:30:00.0	14.58
01/30/10	05:00:00.0	14.58
01/30/10	05:30:00.0	14.58
01/30/10	06:00:00.0	14.58
01/30/10	06:30:00.0	14.58
01/30/10	07:00:00.0	14.67
01/30/10	07:30:00.0	14.67
01/30/10	08:00:00.0	14.67
01/30/10	08:30:00.0	14.67
01/30/10	09:00:00.0	14.67
01/30/10	09:30:00.0	14.67
01/30/10	10:00:00.0	14.58
01/30/10	10:30:00.0	14.58
01/30/10	11:00:00.0	14.58
01/30/10	11:30:00.0	14.58
01/30/10	12:00:00.0	14.58
01/30/10	12:30:00.0	14.58
01/30/10	13:00:00.0	14.58
01/30/10	13:30:00.0	14.58
01/30/10	14:00:00.0	14.58
01/30/10	14:30:00.0	14.5
01/30/10	15:00:00.0	14.5
01/30/10	15:30:00.0	14.5
01/30/10	16:00:00.0	14.58
01/30/10	16:30:00.0	14.5
01/30/10	17:00:00.0	14.58
01/30/10	17:30:00.0	14.58
01/30/10	18:00:00.0	14.58
01/30/10	18:30:00.0	14.58
01/30/10	19:00:00.0	14.58
01/30/10	19:30:00.0	14.58
01/30/10	20:00:00.0	14.58
01/30/10	20:30:00.0	14.67
01/30/10	21:00:00.0	14.67
01/30/10	21:30:00.0	14.67
01/30/10	22:00:00.0	14.76
01/30/10	22:30:00.0	14.76
01/30/10	23:00:00.0	14.67
01/30/10	23:30:00.0	14.67
