Date	"Time, GMT+00:00"	"Temp, °C()"
7/9/2010	12:15:00	17.843
7/9/2010	12:45:00	17.819
7/9/2010	13:15:00	17.819
7/9/2010	13:45:00	17.819
7/9/2010	14:15:00	17.843
7/9/2010	14:45:00	17.843
7/9/2010	15:15:00	17.058
7/9/2010	15:45:00	16.534
7/9/2010	16:15:00	15.127
7/9/2010	16:45:00	14.936
7/9/2010	17:15:00	14.936
7/9/2010	17:45:00	14.697
7/9/2010	18:15:00	14.433
7/9/2010	18:45:00	14.026
7/9/2010	19:15:00	14.912
7/9/2010	19:45:00	15.557
7/9/2010	20:15:00	15.414
7/9/2010	20:45:00	15.008
7/9/2010	21:15:00	15.223
7/9/2010	21:45:00	15.247
7/9/2010	22:15:00	15.39
7/9/2010	22:45:00	15.652
7/9/2010	23:15:00	15.676
7/9/2010	23:45:00	15.39
7/10/2010	0:15:00	15.294
7/10/2010	0:45:00	15.151
7/10/2010	1:15:00	14.936
7/10/2010	1:45:00	15.031
7/10/2010	2:15:00	14.936
7/10/2010	2:45:00	14.96
7/10/2010	3:15:00	14.673
7/10/2010	3:45:00	14.888
7/10/2010	4:15:00	14.96
7/10/2010	4:45:00	14.673
7/10/2010	5:15:00	14.337
7/10/2010	5:45:00	14.218
7/10/2010	6:15:00	14.17
7/10/2010	6:45:00	14.17
7/10/2010	7:15:00	14.433
7/10/2010	7:45:00	14.529
7/10/2010	8:15:00	14.385
7/10/2010	8:45:00	14.385
7/10/2010	9:15:00	14.361
7/10/2010	9:45:00	14.314
7/10/2010	10:15:00	14.361
7/10/2010	10:45:00	14.409
7/10/2010	11:15:00	14.457
7/10/2010	11:45:00	14.649
7/10/2010	12:15:00	15.366
7/10/2010	12:45:00	15.533
7/10/2010	13:15:00	15.294
7/10/2010	13:45:00	15.103
7/10/2010	14:15:00	15.008
7/10/2010	14:45:00	14.96
7/10/2010	15:15:00	14.96
7/10/2010	15:45:00	15.151
7/10/2010	16:15:00	15.27
7/10/2010	16:45:00	15.318
7/10/2010	17:15:00	15.7
7/10/2010	17:45:00	15.843
7/10/2010	18:15:00	16.082
7/10/2010	18:45:00	16.272
7/10/2010	19:15:00	16.32
7/10/2010	19:45:00	16.487
7/10/2010	20:15:00	16.415
7/10/2010	20:45:00	16.368
7/10/2010	21:15:00	16.32
7/10/2010	21:45:00	16.368
7/10/2010	22:15:00	16.344
7/10/2010	22:45:00	16.32
7/10/2010	23:15:00	16.249
7/10/2010	23:45:00	16.106
7/11/2010	0:15:00	15.939
7/11/2010	0:45:00	16.01
7/11/2010	1:15:00	15.867
7/11/2010	1:45:00	15.557
7/11/2010	2:15:00	15.414
7/11/2010	2:45:00	15.533
7/11/2010	3:15:00	15.27
7/11/2010	3:45:00	15.39
7/11/2010	4:15:00	15.223
7/11/2010	4:45:00	14.888
7/11/2010	5:15:00	14.481
7/11/2010	5:45:00	14.601
7/11/2010	6:15:00	14.601
7/11/2010	6:45:00	14.529
7/11/2010	7:15:00	14.433
7/11/2010	7:45:00	14.266
7/11/2010	8:15:00	14.409
7/11/2010	8:45:00	14.409
7/11/2010	9:15:00	14.505
7/11/2010	9:45:00	14.529
7/11/2010	10:15:00	14.625
7/11/2010	10:45:00	14.577
7/11/2010	11:15:00	14.84
7/11/2010	11:45:00	15.318
7/11/2010	12:15:00	15.39
7/11/2010	12:45:00	15.342
7/11/2010	13:15:00	15.438
7/11/2010	13:45:00	15.366
7/11/2010	14:15:00	15.366
7/11/2010	14:45:00	15.461
7/11/2010	15:15:00	15.414
7/11/2010	15:45:00	15.247
7/11/2010	16:15:00	15.652
7/11/2010	16:45:00	15.796
7/11/2010	17:15:00	15.748
7/11/2010	17:45:00	15.605
7/11/2010	18:15:00	15.748
7/11/2010	18:45:00	15.796
7/11/2010	19:15:00	15.986
7/11/2010	19:45:00	16.106
7/11/2010	20:15:00	16.32
7/11/2010	20:45:00	16.463
7/11/2010	21:15:00	16.558
7/11/2010	21:45:00	16.534
7/11/2010	22:15:00	16.344
7/11/2010	22:45:00	16.296
7/11/2010	23:15:00	16.272
7/11/2010	23:45:00	16.249
7/12/2010	0:15:00	16.106
7/12/2010	0:45:00	16.082
7/12/2010	1:15:00	16.01
7/12/2010	1:45:00	15.867
7/12/2010	2:15:00	15.629
7/12/2010	2:45:00	15.485
7/12/2010	3:15:00	15.27
7/12/2010	3:45:00	15.318
7/12/2010	4:15:00	15.438
7/12/2010	4:45:00	15.485
7/12/2010	5:15:00	15.485
7/12/2010	5:45:00	15.485
7/12/2010	6:15:00	15.533
7/12/2010	6:45:00	15.629
7/12/2010	7:15:00	15.581
7/12/2010	7:45:00	15.796
7/12/2010	8:15:00	15.963
7/12/2010	8:45:00	16.058
7/12/2010	9:15:00	16.129
7/12/2010	9:45:00	16.177
7/12/2010	10:15:00	16.153
7/12/2010	10:45:00	15.939
7/12/2010	11:15:00	16.082
7/12/2010	11:45:00	15.915
7/12/2010	12:15:00	15.939
7/12/2010	12:45:00	16.01
7/12/2010	13:15:00	15.772
7/12/2010	13:45:00	14.984
7/12/2010	14:15:00	14.84
7/12/2010	14:45:00	15.366
7/12/2010	15:15:00	15.509
7/12/2010	15:45:00	15.581
7/12/2010	16:15:00	15.676
7/12/2010	16:45:00	15.414
7/12/2010	17:15:00	15.103
7/12/2010	17:45:00	15.7
7/12/2010	18:15:00	15.318
7/12/2010	18:45:00	15.461
7/12/2010	19:15:00	15.724
7/12/2010	19:45:00	15.7
7/12/2010	20:15:00	15.485
7/12/2010	20:45:00	15.581
7/12/2010	21:15:00	15.461
7/12/2010	21:45:00	15.318
7/12/2010	22:15:00	15.986
7/12/2010	22:45:00	16.034
7/12/2010	23:15:00	15.461
7/12/2010	23:45:00	16.654
7/13/2010	0:15:00	16.463
7/13/2010	0:45:00	16.439
7/13/2010	1:15:00	16.582
7/13/2010	1:45:00	16.606
7/13/2010	2:15:00	16.582
7/13/2010	2:45:00	16.534
7/13/2010	3:15:00	16.463
7/13/2010	3:45:00	16.392
7/13/2010	4:15:00	16.082
7/13/2010	4:45:00	16.177
7/13/2010	5:15:00	16.344
7/13/2010	5:45:00	16.082
7/13/2010	6:15:00	16.201
7/13/2010	6:45:00	16.058
7/13/2010	7:15:00	15.652
7/13/2010	7:45:00	15.605
7/13/2010	8:15:00	15.294
7/13/2010	8:45:00	15.27
7/13/2010	9:15:00	15.294
7/13/2010	9:45:00	14.768
7/13/2010	10:15:00	15.175
7/13/2010	10:45:00	15.342
7/13/2010	11:15:00	15.151
7/13/2010	11:45:00	15.103
7/13/2010	12:15:00	14.768
7/13/2010	12:45:00	14.433
7/13/2010	13:15:00	14.29
7/13/2010	13:45:00	13.666
7/13/2010	14:15:00	13.834
7/13/2010	14:45:00	13.594
7/13/2010	15:15:00	14.745
7/13/2010	15:45:00	14.673
7/13/2010	16:15:00	15.008
7/13/2010	16:45:00	14.864
7/13/2010	17:15:00	14.625
7/13/2010	17:45:00	14.409
7/13/2010	18:15:00	13.834
7/13/2010	18:45:00	14.146
7/13/2010	19:15:00	14.481
7/13/2010	19:45:00	14.816
7/13/2010	20:15:00	15.796
7/13/2010	20:45:00	15.055
7/13/2010	21:15:00	14.673
7/13/2010	21:45:00	14.385
7/13/2010	22:15:00	15.796
7/13/2010	22:45:00	16.368
7/13/2010	23:15:00	16.987
7/13/2010	23:45:00	17.011
7/14/2010	0:15:00	16.915
7/14/2010	0:45:00	16.915
7/14/2010	1:15:00	16.939
7/14/2010	1:45:00	16.868
7/14/2010	2:15:00	16.654
7/14/2010	2:45:00	16.463
7/14/2010	3:15:00	16.558
7/14/2010	3:45:00	16.296
7/14/2010	4:15:00	14.697
7/14/2010	4:45:00	14.721
7/14/2010	5:15:00	14.337
7/14/2010	5:45:00	14.122
7/14/2010	6:15:00	14.074
7/14/2010	6:45:00	14.361
7/14/2010	7:15:00	14.266
7/14/2010	7:45:00	13.738
7/14/2010	8:15:00	13.762
7/14/2010	8:45:00	13.546
7/14/2010	9:15:00	13.257
7/14/2010	9:45:00	13.161
7/14/2010	10:15:00	13.112
7/14/2010	10:45:00	13.594
7/14/2010	11:15:00	14.936
7/14/2010	11:45:00	14.792
7/14/2010	12:15:00	14.553
7/14/2010	12:45:00	13.978
7/14/2010	13:15:00	13.666
7/14/2010	13:45:00	13.329
7/14/2010	14:15:00	13.016
7/14/2010	14:45:00	13.04
7/14/2010	15:15:00	13.016
7/14/2010	15:45:00	13.088
7/14/2010	16:15:00	13.016
7/14/2010	16:45:00	13.016
7/14/2010	17:15:00	13.088
7/14/2010	17:45:00	13.353
7/14/2010	18:15:00	14.457
7/14/2010	18:45:00	14.936
7/14/2010	19:15:00	15.079
7/14/2010	19:45:00	15.031
