"Plot Title: 2363599"
"#","Date","Time, GMT+00:00","Temp, °C"
1,01/12/12,12:00:00 AM,21.199
2,01/12/12,12:30:00 AM,21.127
3,01/12/12,01:00:00 AM,20.960
4,01/12/12,01:30:00 AM,20.841
5,01/12/12,02:00:00 AM,20.722
6,01/12/12,02:30:00 AM,20.627
7,01/12/12,03:00:00 AM,20.555
8,01/12/12,03:30:00 AM,20.531
9,01/12/12,04:00:00 AM,20.460
10,01/12/12,04:30:00 AM,20.412
11,01/12/12,05:00:00 AM,20.365
12,01/12/12,05:30:00 AM,20.341
13,01/12/12,06:00:00 AM,20.317
14,01/12/12,06:30:00 AM,20.293
15,01/12/12,07:00:00 AM,20.246
16,01/12/12,07:30:00 AM,20.222
17,01/12/12,08:00:00 AM,20.174
18,01/12/12,08:30:00 AM,20.126
19,01/12/12,09:00:00 AM,20.103
20,01/12/12,09:30:00 AM,20.103
21,01/12/12,10:00:00 AM,20.079
22,01/12/12,10:30:00 AM,20.079
23,01/12/12,11:00:00 AM,20.079
24,01/12/12,11:30:00 AM,20.055
25,01/12/12,12:00:00 PM,20.031
26,01/12/12,12:30:00 PM,19.984
27,01/12/12,01:00:00 PM,19.936
28,01/12/12,01:30:00 PM,19.888
29,01/12/12,02:00:00 PM,19.817
30,01/12/12,02:30:00 PM,19.793
31,01/12/12,03:00:00 PM,19.746
32,01/12/12,03:30:00 PM,19.698
33,01/12/12,04:00:00 PM,19.770
34,01/12/12,04:30:00 PM,20.031
35,01/12/12,05:00:00 PM,20.174
36,01/12/12,05:30:00 PM,20.317
37,01/12/12,06:00:00 PM,20.460
38,01/12/12,06:30:00 PM,20.627
39,01/12/12,07:00:00 PM,20.746
40,01/12/12,07:30:00 PM,20.841
41,01/12/12,08:00:00 PM,20.984
42,01/12/12,08:30:00 PM,21.008
43,01/12/12,09:00:00 PM,21.079
44,01/12/12,09:30:00 PM,21.127
45,01/12/12,10:00:00 PM,21.199
46,01/12/12,10:30:00 PM,21.270
47,01/12/12,11:00:00 PM,21.318
48,01/12/12,11:30:00 PM,21.366
49,01/13/12,12:00:00 AM,21.533
50,01/13/12,12:30:00 AM,21.628
51,01/13/12,01:00:00 AM,21.413
52,01/13/12,01:30:00 AM,21.223
53,01/13/12,02:00:00 AM,21.079
54,01/13/12,02:30:00 AM,20.984
55,01/13/12,03:00:00 AM,20.913
56,01/13/12,03:30:00 AM,20.889
57,01/13/12,04:00:00 AM,20.793
58,01/13/12,04:30:00 AM,20.698
59,01/13/12,05:00:00 AM,20.650
60,01/13/12,05:30:00 AM,20.603
61,01/13/12,06:00:00 AM,20.531
62,01/13/12,06:30:00 AM,20.484
63,01/13/12,07:00:00 AM,20.412
64,01/13/12,07:30:00 AM,20.341
65,01/13/12,08:00:00 AM,20.269
66,01/13/12,08:30:00 AM,20.222
67,01/13/12,09:00:00 AM,20.150
68,01/13/12,09:30:00 AM,20.079
69,01/13/12,10:00:00 AM,20.031
70,01/13/12,10:30:00 AM,19.960
71,01/13/12,11:00:00 AM,19.936
72,01/13/12,11:30:00 AM,19.888
73,01/13/12,12:00:00 PM,19.841
74,01/13/12,12:30:00 PM,19.793
75,01/13/12,01:00:00 PM,19.770
76,01/13/12,01:30:00 PM,19.746
77,01/13/12,02:00:00 PM,19.698
78,01/13/12,02:30:00 PM,19.674
79,01/13/12,03:00:00 PM,19.627
80,01/13/12,03:30:00 PM,19.603
81,01/13/12,04:00:00 PM,19.555
82,01/13/12,04:30:00 PM,19.532
83,01/13/12,05:00:00 PM,19.532
84,01/13/12,05:30:00 PM,19.508
85,01/13/12,06:00:00 PM,19.603
86,01/13/12,06:30:00 PM,19.698
87,01/13/12,07:00:00 PM,19.793
88,01/13/12,07:30:00 PM,19.888
89,01/13/12,08:00:00 PM,19.960
90,01/13/12,08:30:00 PM,19.960
91,01/13/12,09:00:00 PM,19.984
92,01/13/12,09:30:00 PM,20.007
93,01/13/12,10:00:00 PM,20.055
94,01/13/12,10:30:00 PM,20.103
95,01/13/12,11:00:00 PM,20.198
96,01/13/12,11:30:00 PM,20.317
97,01/14/12,12:00:00 AM,20.531
98,01/14/12,12:30:00 AM,20.650
99,01/14/12,01:00:00 AM,20.674
100,01/14/12,01:30:00 AM,20.650
101,01/14/12,02:00:00 AM,20.603
102,01/14/12,02:30:00 AM,20.555
103,01/14/12,03:00:00 AM,20.531
104,01/14/12,03:30:00 AM,20.507
105,01/14/12,04:00:00 AM,20.484
106,01/14/12,04:30:00 AM,20.436
107,01/14/12,05:00:00 AM,20.388
108,01/14/12,05:30:00 AM,20.317
109,01/14/12,06:00:00 AM,20.269
110,01/14/12,06:30:00 AM,20.246
111,01/14/12,07:00:00 AM,20.246
112,01/14/12,07:30:00 AM,20.198
113,01/14/12,08:00:00 AM,20.126
114,01/14/12,08:30:00 AM,20.079
115,01/14/12,09:00:00 AM,20.031
116,01/14/12,09:30:00 AM,19.984
117,01/14/12,10:00:00 AM,19.936
118,01/14/12,10:30:00 AM,19.912
119,01/14/12,11:00:00 AM,19.865
120,01/14/12,11:30:00 AM,19.817
121,01/14/12,12:00:00 PM,19.793
122,01/14/12,12:30:00 PM,19.770
123,01/14/12,01:00:00 PM,19.722
124,01/14/12,01:30:00 PM,19.698
125,01/14/12,02:00:00 PM,19.674
126,01/14/12,02:30:00 PM,19.651
127,01/14/12,03:00:00 PM,19.579
128,01/14/12,03:30:00 PM,19.532
129,01/14/12,04:00:00 PM,19.532
130,01/14/12,04:30:00 PM,19.532
131,01/14/12,05:00:00 PM,19.555
132,01/14/12,05:30:00 PM,19.603
133,01/14/12,06:00:00 PM,19.674
134,01/14/12,06:30:00 PM,19.722
135,01/14/12,07:00:00 PM,19.770
136,01/14/12,07:30:00 PM,19.841
137,01/14/12,08:00:00 PM,19.912
138,01/14/12,08:30:00 PM,19.960
139,01/14/12,09:00:00 PM,20.079
140,01/14/12,09:30:00 PM,20.150
141,01/14/12,10:00:00 PM,20.198
142,01/14/12,10:30:00 PM,20.222
143,01/14/12,11:00:00 PM,20.293
144,01/14/12,11:30:00 PM,20.317
145,01/15/12,12:00:00 AM,20.317
146,01/15/12,12:30:00 AM,20.317
147,01/15/12,01:00:00 AM,20.293
148,01/15/12,01:30:00 AM,20.269
149,01/15/12,02:00:00 AM,20.222
150,01/15/12,02:30:00 AM,20.198
151,01/15/12,03:00:00 AM,20.174
152,01/15/12,03:30:00 AM,20.174
153,01/15/12,04:00:00 AM,20.150
154,01/15/12,04:30:00 AM,20.126
155,01/15/12,05:00:00 AM,20.079
156,01/15/12,05:30:00 AM,20.055
157,01/15/12,06:00:00 AM,20.031
158,01/15/12,06:30:00 AM,20.007
159,01/15/12,07:00:00 AM,19.960
160,01/15/12,07:30:00 AM,19.912
161,01/15/12,08:00:00 AM,19.865
162,01/15/12,08:30:00 AM,19.841
163,01/15/12,09:00:00 AM,19.793
164,01/15/12,09:30:00 AM,19.770
165,01/15/12,10:00:00 AM,19.746
166,01/15/12,10:30:00 AM,19.698
167,01/15/12,11:00:00 AM,19.698
