"Plot Title: 9827324"
"#","Date","Time, GMT+00:00","Temp, °C"
1,2012/06/18,23:00:00,20.507
2,2012/06/18,23:30:00,20.531
3,2012/06/19,00:00:00,20.650
4,2012/06/19,00:30:00,20.865
5,2012/06/19,01:00:00,21.175
6,2012/06/19,01:30:00,21.939
7,2012/06/19,02:00:00,22.609
8,2012/06/19,02:30:00,22.920
9,2012/06/19,03:00:00,21.604
10,2012/06/19,03:30:00,20.817
11,2012/06/19,04:00:00,20.436
12,2012/06/19,04:30:00,20.174
13,2012/06/19,05:00:00,19.960
14,2012/06/19,05:30:00,19.817
15,2012/06/19,06:00:00,19.722
16,2012/06/19,06:30:00,19.627
17,2012/06/19,07:00:00,19.579
18,2012/06/19,07:30:00,19.484
19,2012/06/19,08:00:00,19.460
20,2012/06/19,08:30:00,19.436
21,2012/06/19,09:00:00,19.365
22,2012/06/19,09:30:00,19.341
23,2012/06/19,10:00:00,19.341
24,2012/06/19,10:30:00,19.318
25,2012/06/19,11:00:00,19.294
26,2012/06/19,11:30:00,19.175
27,2012/06/19,12:00:00,19.127
28,2012/06/19,12:30:00,19.103
29,2012/06/19,13:00:00,19.056
30,2012/06/19,13:30:00,19.032
31,2012/06/19,14:00:00,19.056
32,2012/06/19,14:30:00,19.151
33,2012/06/19,15:00:00,19.365
34,2012/06/19,15:30:00,19.532
35,2012/06/19,16:00:00,19.674
36,2012/06/19,16:30:00,19.817
37,2012/06/19,17:00:00,19.888
38,2012/06/19,17:30:00,20.007
39,2012/06/19,18:00:00,20.079
40,2012/06/19,18:30:00,20.174
41,2012/06/19,19:00:00,20.293
42,2012/06/19,19:30:00,20.412
43,2012/06/19,20:00:00,20.460
44,2012/06/19,20:30:00,20.412
45,2012/06/19,21:00:00,20.460
46,2012/06/19,21:30:00,20.627
47,2012/06/19,22:00:00,20.793
48,2012/06/19,22:30:00,21.032
49,2012/06/19,23:00:00,21.366
50,2012/06/19,23:30:00,20.889
51,2012/06/20,00:00:00,21.509
52,2012/06/20,00:30:00,21.604
53,2012/06/20,01:00:00,21.604
54,2012/06/20,01:30:00,21.724
55,2012/06/20,02:00:00,22.011
56,2012/06/20,02:30:00,22.106
57,2012/06/20,03:00:00,21.987
58,2012/06/20,03:30:00,21.676
59,2012/06/20,04:00:00,21.318
60,2012/06/20,04:30:00,21.008
61,2012/06/20,05:00:00,20.770
62,2012/06/20,05:30:00,20.555
63,2012/06/20,06:00:00,20.341
64,2012/06/20,06:30:00,20.198
65,2012/06/20,07:00:00,20.126
66,2012/06/20,07:30:00,20.031
67,2012/06/20,08:00:00,19.960
68,2012/06/20,08:30:00,19.888
69,2012/06/20,09:00:00,19.770
70,2012/06/20,09:30:00,19.698
71,2012/06/20,10:00:00,19.651
72,2012/06/20,10:30:00,19.579
73,2012/06/20,11:00:00,19.555
74,2012/06/20,11:30:00,19.674
75,2012/06/20,12:00:00,19.674
76,2012/06/20,12:30:00,19.579
77,2012/06/20,13:00:00,19.484
78,2012/06/20,13:30:00,19.413
79,2012/06/20,14:00:00,19.318
80,2012/06/20,14:30:00,32.820
81,2012/06/20,15:00:00,24.847
82,2012/06/20,15:30:00,21.008
83,2012/06/20,16:00:00,19.770
84,2012/06/20,16:30:00,19.698
85,2012/06/20,17:00:00,20.174
86,2012/06/20,17:30:00,21.366
87,2012/06/20,18:00:00,23.424
88,2012/06/20,18:30:00,24.412
89,2012/06/20,19:00:00,24.532
90,2012/06/20,19:30:00,24.823
91,2012/06/20,20:00:00,26.818
92,2012/06/20,20:30:00,17.153
93,2012/06/20,21:00:00,17.177
94,2012/06/20,21:30:00,17.201
95,2012/06/20,22:00:00,17.225
96,2012/06/20,22:30:00,17.225
97,2012/06/20,23:00:00,17.225
98,2012/06/20,23:30:00,17.225
99,2012/06/21,00:00:00,17.272
100,2012/06/21,00:30:00,17.272
101,2012/06/21,01:00:00,17.249
102,2012/06/21,01:30:00,17.272
103,2012/06/21,02:00:00,17.272
104,2012/06/21,02:30:00,17.296
105,2012/06/21,03:00:00,17.296
106,2012/06/21,03:30:00,17.272
107,2012/06/21,04:00:00,17.296
108,2012/06/21,04:30:00,17.296
109,2012/06/21,05:00:00,17.272
110,2012/06/21,05:30:00,17.177
111,2012/06/21,06:00:00,17.153
112,2012/06/21,06:30:00,17.011
113,2012/06/21,07:00:00,17.058
114,2012/06/21,07:30:00,17.034
115,2012/06/21,08:00:00,16.987
116,2012/06/21,08:30:00,16.987
117,2012/06/21,09:00:00,16.773
118,2012/06/21,09:30:00,16.010
119,2012/06/21,10:00:00,16.296
120,2012/06/21,10:30:00,16.296
121,2012/06/21,11:00:00,16.272
122,2012/06/21,11:30:00,16.272
123,2012/06/21,12:00:00,15.724
124,2012/06/21,12:30:00,15.270
125,2012/06/21,13:00:00,14.984
126,2012/06/21,13:30:00,15.127
127,2012/06/21,14:00:00,15.652
128,2012/06/21,14:30:00,15.461
129,2012/06/21,15:00:00,14.194
130,2012/06/21,15:30:00,14.002
131,2012/06/21,16:00:00,13.930
132,2012/06/21,16:30:00,13.978
133,2012/06/21,17:00:00,14.266
134,2012/06/21,17:30:00,14.385
135,2012/06/21,18:00:00,16.272
136,2012/06/21,18:30:00,16.844
137,2012/06/21,19:00:00,17.058
138,2012/06/21,19:30:00,17.177
139,2012/06/21,20:00:00,17.296
140,2012/06/21,20:30:00,17.415
141,2012/06/21,21:00:00,17.272
142,2012/06/21,21:30:00,17.201
143,2012/06/21,22:00:00,17.225
144,2012/06/21,22:30:00,17.225
145,2012/06/21,23:00:00,17.320
146,2012/06/21,23:30:00,17.368
147,2012/06/22,00:00:00,17.272
148,2012/06/22,00:30:00,17.320
149,2012/06/22,01:00:00,17.201
150,2012/06/22,01:30:00,17.201
151,2012/06/22,02:00:00,17.153
152,2012/06/22,02:30:00,16.892
153,2012/06/22,03:00:00,16.868
154,2012/06/22,03:30:00,16.272
155,2012/06/22,04:00:00,15.724
156,2012/06/22,04:30:00,14.026
157,2012/06/22,05:00:00,13.473
158,2012/06/22,05:30:00,13.185
159,2012/06/22,06:00:00,13.088
160,2012/06/22,06:30:00,13.088
161,2012/06/22,07:00:00,14.098
162,2012/06/22,07:30:00,14.385
163,2012/06/22,08:00:00,14.553
164,2012/06/22,08:30:00,14.960
165,2012/06/22,09:00:00,14.433
166,2012/06/22,09:30:00,13.906
167,2012/06/22,10:00:00,13.738
168,2012/06/22,10:30:00,13.930
169,2012/06/22,11:00:00,14.050
170,2012/06/22,11:30:00,15.127
171,2012/06/22,12:00:00,14.912
172,2012/06/22,12:30:00,16.511
173,2012/06/22,13:00:00,17.106
174,2012/06/22,13:30:00,16.820
175,2012/06/22,14:00:00,16.725
176,2012/06/22,14:30:00,16.773
177,2012/06/22,15:00:00,16.654
178,2012/06/22,15:30:00,15.939
179,2012/06/22,16:00:00,16.129
180,2012/06/22,16:30:00,16.392
181,2012/06/22,17:00:00,16.320
182,2012/06/22,17:30:00,16.249
183,2012/06/22,18:00:00,16.463
184,2012/06/22,18:30:00,16.272
185,2012/06/22,19:00:00,16.249
186,2012/06/22,19:30:00,16.392
187,2012/06/22,20:00:00,15.915
188,2012/06/22,20:30:00,15.700
189,2012/06/22,21:00:00,14.649
190,2012/06/22,21:30:00,14.577
191,2012/06/22,22:00:00,15.031
192,2012/06/22,22:30:00,16.534
193,2012/06/22,23:00:00,16.558
194,2012/06/22,23:30:00,16.177
195,2012/06/23,00:00:00,15.676
196,2012/06/23,00:30:00,16.201
197,2012/06/23,01:00:00,16.963
198,2012/06/23,01:30:00,16.677
199,2012/06/23,02:00:00,16.868
200,2012/06/23,02:30:00,16.796
201,2012/06/23,03:00:00,16.392
202,2012/06/23,03:30:00,16.058
203,2012/06/23,04:00:00,14.122
204,2012/06/23,04:30:00,13.978
205,2012/06/23,05:00:00,13.834
206,2012/06/23,05:30:00,13.570
207,2012/06/23,06:00:00,13.305
208,2012/06/23,06:30:00,13.642
209,2012/06/23,07:00:00,13.425
210,2012/06/23,07:30:00,13.690
211,2012/06/23,08:00:00,13.570
212,2012/06/23,08:30:00,13.642
213,2012/06/23,09:00:00,13.497
214,2012/06/23,09:30:00,13.449
215,2012/06/23,10:00:00,13.353
216,2012/06/23,10:30:00,13.209
217,2012/06/23,11:00:00,13.161
218,2012/06/23,11:30:00,13.209
219,2012/06/23,12:00:00,14.146
220,2012/06/23,12:30:00,14.218
221,2012/06/23,13:00:00,16.010
222,2012/06/23,13:30:00,15.700
223,2012/06/23,14:00:00,16.129
224,2012/06/23,14:30:00,15.891
225,2012/06/23,15:00:00,15.605
226,2012/06/23,15:30:00,15.103
227,2012/06/23,16:00:00,15.270
228,2012/06/23,16:30:00,16.463
229,2012/06/23,17:00:00,16.773
230,2012/06/23,17:30:00,16.892
231,2012/06/23,18:00:00,16.892
232,2012/06/23,18:30:00,17.034
233,2012/06/23,19:00:00,16.915
234,2012/06/23,19:30:00,16.915
235,2012/06/23,20:00:00,17.034
236,2012/06/23,20:30:00,16.987
237,2012/06/23,21:00:00,17.058
238,2012/06/23,21:30:00,17.011
239,2012/06/23,22:00:00,16.987
240,2012/06/23,22:30:00,16.654
241,2012/06/23,23:00:00,16.654
242,2012/06/23,23:30:00,16.701
243,2012/06/24,00:00:00,16.558
244,2012/06/24,00:30:00,16.511
245,2012/06/24,01:00:00,16.225
246,2012/06/24,01:30:00,16.606
247,2012/06/24,02:00:00,16.511
248,2012/06/24,02:30:00,15.223
249,2012/06/24,03:00:00,15.366
