Plot Title: 9676893,,,
#,Date,"Time, GMT+00:00","Temp, °C"
1,1/22/2013,12:00:00,20.126
2,1/22/2013,12:30:00,20.103
3,1/22/2013,13:00:00,20.055
4,1/22/2013,13:30:00,20.055
5,1/22/2013,14:00:00,20.055
6,1/22/2013,14:30:00,20.031
7,1/22/2013,15:00:00,19.96
8,1/22/2013,15:30:00,19.817
9,1/22/2013,16:00:00,17.701
10,1/22/2013,16:30:00,15.963
11,1/22/2013,17:00:00,14.912
12,1/22/2013,17:30:00,14.481
13,1/22/2013,18:00:00,18.889
14,1/22/2013,18:30:00,12.147
15,1/22/2013,19:00:00,12.147
16,1/22/2013,19:30:00,12.147
17,1/22/2013,20:00:00,12.171
18,1/22/2013,20:30:00,12.195
19,1/22/2013,21:00:00,12.195
20,1/22/2013,21:30:00,12.195
21,1/22/2013,22:00:00,12.147
22,1/22/2013,22:30:00,12.147
23,1/22/2013,23:00:00,12.34
24,1/22/2013,23:30:00,12.461
25,1/23/2013,0:00:00,12.437
26,1/23/2013,0:30:00,12.413
27,1/23/2013,1:00:00,12.437
28,1/23/2013,1:30:00,12.413
29,1/23/2013,2:00:00,12.413
30,1/23/2013,2:30:00,12.364
31,1/23/2013,3:00:00,12.364
32,1/23/2013,3:30:00,12.316
33,1/23/2013,4:00:00,12.34
34,1/23/2013,4:30:00,12.316
35,1/23/2013,5:00:00,12.34
36,1/23/2013,5:30:00,12.292
37,1/23/2013,6:00:00,12.292
38,1/23/2013,6:30:00,12.195
39,1/23/2013,7:00:00,12.219
40,1/23/2013,7:30:00,12.195
41,1/23/2013,8:00:00,12.147
42,1/23/2013,8:30:00,12.074
43,1/23/2013,9:00:00,12.219
44,1/23/2013,9:30:00,12.195
45,1/23/2013,10:00:00,12.243
46,1/23/2013,10:30:00,12.292
47,1/23/2013,11:00:00,12.316
48,1/23/2013,11:30:00,12.316
49,1/23/2013,12:00:00,12.34
50,1/23/2013,12:30:00,12.413
51,1/23/2013,13:00:00,12.437
52,1/23/2013,13:30:00,12.389
53,1/23/2013,14:00:00,12.34
54,1/23/2013,14:30:00,12.292
55,1/23/2013,15:00:00,12.219
56,1/23/2013,15:30:00,12.171
57,1/23/2013,16:00:00,12.171
58,1/23/2013,16:30:00,12.171
59,1/23/2013,17:00:00,12.195
60,1/23/2013,17:30:00,12.243
61,1/23/2013,18:00:00,12.243
62,1/23/2013,18:30:00,12.243
63,1/23/2013,19:00:00,12.243
64,1/23/2013,19:30:00,12.219
65,1/23/2013,20:00:00,12.268
66,1/23/2013,20:30:00,12.34
67,1/23/2013,21:00:00,12.389
68,1/23/2013,21:30:00,12.437
69,1/23/2013,22:00:00,12.534
70,1/23/2013,22:30:00,12.582
71,1/23/2013,23:00:00,12.606
72,1/23/2013,23:30:00,12.606
73,1/24/2013,0:00:00,12.582
74,1/24/2013,0:30:00,12.63
75,1/24/2013,1:00:00,12.509
76,1/24/2013,1:30:00,12.582
77,1/24/2013,2:00:00,12.63
78,1/24/2013,2:30:00,12.63
79,1/24/2013,3:00:00,12.654
80,1/24/2013,3:30:00,12.678
81,1/24/2013,4:00:00,12.678
82,1/24/2013,4:30:00,12.654
83,1/24/2013,5:00:00,12.63
84,1/24/2013,5:30:00,12.606
85,1/24/2013,6:00:00,12.558
86,1/24/2013,6:30:00,12.509
87,1/24/2013,7:00:00,12.485
88,1/24/2013,7:30:00,12.485
89,1/24/2013,8:00:00,12.509
90,1/24/2013,8:30:00,12.534
91,1/24/2013,9:00:00,12.558
92,1/24/2013,9:30:00,12.582
93,1/24/2013,10:00:00,12.606
94,1/24/2013,10:30:00,12.63
95,1/24/2013,11:00:00,12.654
96,1/24/2013,11:30:00,12.63
97,1/24/2013,12:00:00,12.582
98,1/24/2013,12:30:00,12.558
99,1/24/2013,13:00:00,12.654
100,1/24/2013,13:30:00,12.654
101,1/24/2013,14:00:00,12.654
102,1/24/2013,14:30:00,12.654
103,1/24/2013,15:00:00,12.654
104,1/24/2013,15:30:00,12.678
105,1/24/2013,16:00:00,12.678
106,1/24/2013,16:30:00,12.678
107,1/24/2013,17:00:00,12.703
108,1/24/2013,17:30:00,12.703
109,1/24/2013,18:00:00,12.727
110,1/24/2013,18:30:00,12.727
111,1/24/2013,19:00:00,12.727
112,1/24/2013,19:30:00,12.775
113,1/24/2013,20:00:00,12.775
114,1/24/2013,20:30:00,12.775
115,1/24/2013,21:00:00,12.775
116,1/24/2013,21:30:00,12.799
117,1/24/2013,22:00:00,12.775
118,1/24/2013,22:30:00,12.775
119,1/24/2013,23:00:00,12.775
120,1/24/2013,23:30:00,12.751
121,1/25/2013,0:00:00,12.727
122,1/25/2013,0:30:00,12.727
123,1/25/2013,1:00:00,12.727
124,1/25/2013,1:30:00,12.727
125,1/25/2013,2:00:00,12.727
126,1/25/2013,2:30:00,12.703
127,1/25/2013,3:00:00,12.703
128,1/25/2013,3:30:00,12.703
129,1/25/2013,4:00:00,12.703
130,1/25/2013,4:30:00,12.678
131,1/25/2013,5:00:00,12.703
132,1/25/2013,5:30:00,12.703
133,1/25/2013,6:00:00,12.703
134,1/25/2013,6:30:00,12.678
135,1/25/2013,7:00:00,12.678
136,1/25/2013,7:30:00,12.678
137,1/25/2013,8:00:00,12.703
138,1/25/2013,8:30:00,12.703
139,1/25/2013,9:00:00,12.727
140,1/25/2013,9:30:00,12.727
141,1/25/2013,10:00:00,12.727
142,1/25/2013,10:30:00,12.727
143,1/25/2013,11:00:00,12.727
144,1/25/2013,11:30:00,12.727
145,1/25/2013,12:00:00,12.727
146,1/25/2013,12:30:00,12.775
147,1/25/2013,13:00:00,12.751
148,1/25/2013,13:30:00,12.775
149,1/25/2013,14:00:00,12.751
150,1/25/2013,14:30:00,12.727
151,1/25/2013,15:00:00,12.703
152,1/25/2013,15:30:00,12.654
153,1/25/2013,16:00:00,12.63
154,1/25/2013,16:30:00,12.582
155,1/25/2013,17:00:00,12.582
156,1/25/2013,17:30:00,12.606
157,1/25/2013,18:00:00,12.63
158,1/25/2013,18:30:00,12.654
159,1/25/2013,19:00:00,12.63
160,1/25/2013,19:30:00,12.654
161,1/25/2013,20:00:00,12.606
162,1/25/2013,20:30:00,12.582
163,1/25/2013,21:00:00,12.582
164,1/25/2013,21:30:00,12.582
165,1/25/2013,22:00:00,12.558
166,1/25/2013,22:30:00,12.558
167,1/25/2013,23:00:00,12.654
168,1/25/2013,23:30:00,12.606
169,1/26/2013,0:00:00,12.606
170,1/26/2013,0:30:00,12.582
171,1/26/2013,1:00:00,12.582
172,1/26/2013,1:30:00,12.582
173,1/26/2013,2:00:00,12.558
174,1/26/2013,2:30:00,12.558
175,1/26/2013,3:00:00,12.582
176,1/26/2013,3:30:00,12.558
177,1/26/2013,4:00:00,12.558
178,1/26/2013,4:30:00,12.558
179,1/26/2013,5:00:00,12.558
180,1/26/2013,5:30:00,12.582
181,1/26/2013,6:00:00,12.582
182,1/26/2013,6:30:00,12.606
183,1/26/2013,7:00:00,12.63
184,1/26/2013,7:30:00,12.63
185,1/26/2013,8:00:00,12.63
186,1/26/2013,8:30:00,12.606
187,1/26/2013,9:00:00,12.63
188,1/26/2013,9:30:00,12.63
189,1/26/2013,10:00:00,12.606
190,1/26/2013,10:30:00,12.582
191,1/26/2013,11:00:00,12.582
192,1/26/2013,11:30:00,12.582
193,1/26/2013,12:00:00,12.582
194,1/26/2013,12:30:00,12.606
195,1/26/2013,13:00:00,12.582
196,1/26/2013,13:30:00,12.582
197,1/26/2013,14:00:00,12.606
198,1/26/2013,14:30:00,12.582
199,1/26/2013,15:00:00,12.582
200,1/26/2013,15:30:00,12.606
201,1/26/2013,16:00:00,12.606
202,1/26/2013,16:30:00,12.63
203,1/26/2013,17:00:00,12.63
204,1/26/2013,17:30:00,12.63
205,1/26/2013,18:00:00,12.606
206,1/26/2013,18:30:00,12.606
207,1/26/2013,19:00:00,12.606
208,1/26/2013,19:30:00,12.606
209,1/26/2013,20:00:00,12.606
210,1/26/2013,20:30:00,12.606
211,1/26/2013,21:00:00,12.654
212,1/26/2013,21:30:00,12.968
213,1/26/2013,22:00:00,13.112
214,1/26/2013,22:30:00,13.112
215,1/26/2013,23:00:00,13.064
216,1/26/2013,23:30:00,12.992
217,1/27/2013,0:00:00,13.233
218,1/27/2013,0:30:00,13.233
219,1/27/2013,1:00:00,13.137
220,1/27/2013,1:30:00,13.064
221,1/27/2013,2:00:00,12.871
222,1/27/2013,2:30:00,12.823
223,1/27/2013,3:00:00,12.847
224,1/27/2013,3:30:00,12.92
225,1/27/2013,4:00:00,12.871
226,1/27/2013,4:30:00,12.775
227,1/27/2013,5:00:00,12.727
228,1/27/2013,5:30:00,12.799
229,1/27/2013,6:00:00,12.823
230,1/27/2013,6:30:00,12.823
231,1/27/2013,7:00:00,12.823
232,1/27/2013,7:30:00,12.799
233,1/27/2013,8:00:00,12.775
234,1/27/2013,8:30:00,12.847
235,1/27/2013,9:00:00,12.896
236,1/27/2013,9:30:00,12.896
237,1/27/2013,10:00:00,12.896
238,1/27/2013,10:30:00,12.92
239,1/27/2013,11:00:00,12.871
240,1/27/2013,11:30:00,12.847
241,1/27/2013,12:00:00,12.847
242,1/27/2013,12:30:00,12.847
243,1/27/2013,13:00:00,12.896
244,1/27/2013,13:30:00,12.871
245,1/27/2013,14:00:00,12.896
246,1/27/2013,14:30:00,12.896
247,1/27/2013,15:00:00,12.92
248,1/27/2013,15:30:00,12.92
249,1/27/2013,16:00:00,12.92
250,1/27/2013,16:30:00,12.896
251,1/27/2013,17:00:00,12.92
252,1/27/2013,17:30:00,12.944
253,1/27/2013,18:00:00,12.871
254,1/27/2013,18:30:00,12.678
255,1/27/2013,19:00:00,12.703
256,1/27/2013,19:30:00,12.799
257,1/27/2013,20:00:00,12.823
258,1/27/2013,20:30:00,12.847
259,1/27/2013,21:00:00,12.775
260,1/27/2013,21:30:00,12.799
261,1/27/2013,22:00:00,12.799
262,1/27/2013,22:30:00,12.799
263,1/27/2013,23:00:00,12.799
264,1/27/2013,23:30:00,12.775
265,1/28/2013,0:00:00,12.775
266,1/28/2013,0:30:00,12.727
267,1/28/2013,1:00:00,12.799
268,1/28/2013,1:30:00,12.871
269,1/28/2013,2:00:00,12.847
270,1/28/2013,2:30:00,12.896
271,1/28/2013,3:00:00,12.896
272,1/28/2013,3:30:00,12.871
273,1/28/2013,4:00:00,12.871
274,1/28/2013,4:30:00,12.799
275,1/28/2013,5:00:00,12.654
276,1/28/2013,5:30:00,12.63
277,1/28/2013,6:00:00,12.63
278,1/28/2013,6:30:00,12.606
279,1/28/2013,7:00:00,12.606
280,1/28/2013,7:30:00,12.606
281,1/28/2013,8:00:00,12.606
282,1/28/2013,8:30:00,12.606
283,1/28/2013,9:00:00,12.534
284,1/28/2013,9:30:00,12.485
285,1/28/2013,10:00:00,12.461
286,1/28/2013,10:30:00,12.437
287,1/28/2013,11:00:00,12.413
288,1/28/2013,11:30:00,12.437
289,1/28/2013,12:00:00,12.413
290,1/28/2013,12:30:00,12.364
291,1/28/2013,13:00:00,12.34
292,1/28/2013,13:30:00,12.316
293,1/28/2013,14:00:00,12.292
294,1/28/2013,14:30:00,12.268
295,1/28/2013,15:00:00,12.243
296,1/28/2013,15:30:00,12.243
297,1/28/2013,16:00:00,12.195
298,1/28/2013,16:30:00,12.243
299,1/28/2013,17:00:00,12.243
300,1/28/2013,17:30:00,12.268
301,1/28/2013,18:00:00,12.292
302,1/28/2013,18:30:00,12.364
303,1/28/2013,19:00:00,12.437
304,1/28/2013,19:30:00,12.485
305,1/28/2013,20:00:00,12.461
306,1/28/2013,20:30:00,12.485
307,1/28/2013,21:00:00,12.485
308,1/28/2013,21:30:00,12.461
309,1/28/2013,22:00:00,12.485
310,1/28/2013,22:30:00,12.534
311,1/28/2013,23:00:00,12.606
312,1/28/2013,23:30:00,12.63
313,1/29/2013,0:00:00,12.654
314,1/29/2013,0:30:00,12.63
315,1/29/2013,1:00:00,12.606
316,1/29/2013,1:30:00,12.582
317,1/29/2013,2:00:00,12.582
