"Plot Title: NAPL_1a"
"#","Date","Time, GMT+00:00","Temp, °C"
1,2013/07/31,12:15:00,19.318
2,2013/07/31,12:45:00,19.246
3,2013/07/31,13:15:00,19.151
4,2013/07/31,13:45:00,19.103
5,2013/07/31,14:15:00,19.103
6,2013/07/31,14:45:00,18.794
7,2013/07/31,15:15:00,17.796
8,2013/07/31,15:45:00,17.130
9,2013/07/31,16:15:00,35.797
10,2013/07/31,16:45:00,14.936
11,2013/07/31,17:15:00,14.457
12,2013/07/31,17:45:00,14.433
13,2013/07/31,18:15:00,15.270
14,2013/07/31,18:45:00,15.605
15,2013/07/31,19:15:00,15.843
16,2013/07/31,19:45:00,15.891
17,2013/07/31,20:15:00,15.915
18,2013/07/31,20:45:00,15.629
19,2013/07/31,21:15:00,15.223
20,2013/07/31,21:45:00,15.175
21,2013/07/31,22:15:00,15.008
22,2013/07/31,22:45:00,14.984
23,2013/07/31,23:15:00,15.055
24,2013/07/31,23:45:00,15.127
25,2013/08/01,00:15:00,15.294
26,2013/08/01,00:45:00,15.366
27,2013/08/01,01:15:00,15.533
28,2013/08/01,01:45:00,15.485
29,2013/08/01,02:15:00,15.581
30,2013/08/01,02:45:00,15.533
31,2013/08/01,03:15:00,15.318
32,2013/08/01,03:45:00,14.816
33,2013/08/01,04:15:00,14.673
34,2013/08/01,04:45:00,14.888
35,2013/08/01,05:15:00,14.960
36,2013/08/01,05:45:00,15.127
37,2013/08/01,06:15:00,14.960
38,2013/08/01,06:45:00,14.721
39,2013/08/01,07:15:00,14.337
40,2013/08/01,07:45:00,14.697
41,2013/08/01,08:15:00,14.361
42,2013/08/01,08:45:00,14.433
43,2013/08/01,09:15:00,14.194
44,2013/08/01,09:45:00,14.074
45,2013/08/01,10:15:00,14.026
46,2013/08/01,10:45:00,13.978
47,2013/08/01,11:15:00,13.978
48,2013/08/01,11:45:00,13.906
49,2013/08/01,12:15:00,14.050
50,2013/08/01,12:45:00,13.978
51,2013/08/01,13:15:00,14.026
52,2013/08/01,13:45:00,14.170
53,2013/08/01,14:15:00,14.242
54,2013/08/01,14:45:00,14.314
55,2013/08/01,15:15:00,14.266
56,2013/08/01,15:45:00,14.266
57,2013/08/01,16:15:00,14.314
58,2013/08/01,16:45:00,14.290
59,2013/08/01,17:15:00,14.361
