"Date","Time, GMT+00:00","Temp, °C"
12/04/15,00:15:00,17.986
12/04/15,00:45:00,17.986
12/04/15,01:15:00,17.962
12/04/15,01:45:00,17.915
12/04/15,02:15:00,17.915
12/04/15,02:45:00,17.891
12/04/15,03:15:00,17.891
12/04/15,03:45:00,17.891
12/04/15,04:15:00,17.867
12/04/15,04:45:00,17.843
12/04/15,05:15:00,17.843
12/04/15,05:45:00,17.819
12/04/15,06:15:00,17.819
12/04/15,06:45:00,17.796
12/04/15,07:15:00,17.796
12/04/15,07:45:00,17.796
12/04/15,08:15:00,17.796
12/04/15,08:45:00,17.796
12/04/15,09:15:00,17.796
12/04/15,09:45:00,17.772
12/04/15,10:15:00,17.772
12/04/15,10:45:00,17.772
12/04/15,11:15:00,17.772
12/04/15,11:45:00,17.772
12/04/15,12:15:00,17.772
12/04/15,12:45:00,17.772
12/04/15,13:15:00,17.772
12/04/15,13:45:00,17.772
12/04/15,14:15:00,17.748
12/04/15,14:45:00,17.748
12/04/15,15:15:00,17.748
12/04/15,15:45:00,17.724
12/04/15,16:15:00,17.701
12/04/15,16:45:00,17.701
12/04/15,17:15:00,17.701
12/04/15,17:45:00,17.701
12/04/15,18:15:00,17.701
12/04/15,18:45:00,17.701
12/04/15,19:15:00,17.701
12/04/15,19:45:00,17.701
12/04/15,20:15:00,17.701
12/04/15,20:45:00,17.724
12/04/15,21:15:00,17.772
12/04/15,21:45:00,17.772
12/04/15,22:15:00,17.772
12/04/15,22:45:00,17.748
12/04/15,23:15:00,17.724
12/04/15,23:45:00,17.724
12/05/15,00:15:00,17.701
12/05/15,00:45:00,17.748
12/05/15,01:15:00,17.796
12/05/15,01:45:00,17.891
12/05/15,02:15:00,17.962
12/05/15,02:45:00,17.962
12/05/15,03:15:00,17.938
12/05/15,03:45:00,17.938
12/05/15,04:15:00,17.938
12/05/15,04:45:00,17.915
12/05/15,05:15:00,17.891
12/05/15,05:45:00,17.843
12/05/15,06:15:00,17.796
12/05/15,06:45:00,17.796
12/05/15,07:15:00,17.772
12/05/15,07:45:00,17.796
12/05/15,08:15:00,17.796
12/05/15,08:45:00,17.796
12/05/15,09:15:00,17.819
12/05/15,09:45:00,17.819
12/05/15,10:15:00,17.819
12/05/15,10:45:00,17.796
12/05/15,11:15:00,17.772
12/05/15,11:45:00,17.796
12/05/15,12:15:00,17.843
12/05/15,12:45:00,17.843
12/05/15,13:15:00,17.867
12/05/15,13:45:00,17.867
12/05/15,14:15:00,17.891
12/05/15,14:45:00,17.891
12/05/15,15:15:00,17.891
12/05/15,15:45:00,17.891
12/05/15,16:15:00,17.891
12/05/15,16:45:00,17.891
12/05/15,17:15:00,17.891
12/05/15,17:45:00,17.915
12/05/15,18:15:00,17.915
12/05/15,18:45:00,17.962
12/05/15,19:15:00,17.986
12/05/15,19:45:00,17.986
12/05/15,20:15:00,18.010
12/05/15,20:45:00,18.010
12/05/15,21:15:00,18.033
12/05/15,21:45:00,18.010
12/05/15,22:15:00,18.010
12/05/15,22:45:00,17.986
12/05/15,23:15:00,17.986
12/05/15,23:45:00,17.986
12/06/15,00:15:00,17.986
12/06/15,00:45:00,17.962
12/06/15,01:15:00,17.938
12/06/15,01:45:00,17.938
12/06/15,02:15:00,17.938
12/06/15,02:45:00,17.915
12/06/15,03:15:00,17.915
12/06/15,03:45:00,17.891
12/06/15,04:15:00,17.891
12/06/15,04:45:00,17.891
12/06/15,05:15:00,17.891
12/06/15,05:45:00,17.891
12/06/15,06:15:00,17.891
12/06/15,06:45:00,17.867
12/06/15,07:15:00,17.867
12/06/15,07:45:00,17.867
12/06/15,08:15:00,17.867
12/06/15,08:45:00,17.843
12/06/15,09:15:00,17.819
12/06/15,09:45:00,17.796
12/06/15,10:15:00,17.796
12/06/15,10:45:00,17.796
12/06/15,11:15:00,17.772
12/06/15,11:45:00,17.772
12/06/15,12:15:00,17.772
12/06/15,12:45:00,17.772
12/06/15,13:15:00,17.796
12/06/15,13:45:00,17.796
12/06/15,14:15:00,17.796
12/06/15,14:45:00,17.819
12/06/15,15:15:00,17.819
12/06/15,15:45:00,17.819
12/06/15,16:15:00,17.819
12/06/15,16:45:00,17.819
12/06/15,17:15:00,17.843
12/06/15,17:45:00,17.843
12/06/15,18:15:00,17.843
12/06/15,18:45:00,17.867
12/06/15,19:15:00,17.891
12/06/15,19:45:00,17.867
12/06/15,20:15:00,17.891
12/06/15,20:45:00,17.915
12/06/15,21:15:00,17.938
12/06/15,21:45:00,17.938
12/06/15,22:15:00,17.986
12/06/15,22:45:00,18.033
12/06/15,23:15:00,18.033
12/06/15,23:45:00,17.986
12/07/15,00:15:00,17.962
12/07/15,00:45:00,17.938
12/07/15,01:15:00,17.938
12/07/15,01:45:00,17.938
12/07/15,02:15:00,17.915
12/07/15,02:45:00,17.915
12/07/15,03:15:00,17.915
12/07/15,03:45:00,17.915
12/07/15,04:15:00,17.891
12/07/15,04:45:00,17.915
12/07/15,05:15:00,17.938
12/07/15,05:45:00,17.891
12/07/15,06:15:00,17.891
12/07/15,06:45:00,17.891
12/07/15,07:15:00,17.891
12/07/15,07:45:00,17.891
12/07/15,08:15:00,17.891
12/07/15,08:45:00,17.891
12/07/15,09:15:00,17.891
12/07/15,09:45:00,17.891
12/07/15,10:15:00,17.891
12/07/15,10:45:00,17.891
12/07/15,11:15:00,17.891
12/07/15,11:45:00,17.891
12/07/15,12:15:00,17.867
12/07/15,12:45:00,17.867
12/07/15,13:15:00,17.867
12/07/15,13:45:00,17.891
12/07/15,14:15:00,17.867
12/07/15,14:45:00,17.867
12/07/15,15:15:00,17.867
12/07/15,15:45:00,17.867
12/07/15,16:15:00,17.867
12/07/15,16:45:00,17.867
12/07/15,17:15:00,17.867
12/07/15,17:45:00,17.891
12/07/15,18:15:00,17.891
12/07/15,18:45:00,17.891
12/07/15,19:15:00,17.915
12/07/15,19:45:00,17.938
12/07/15,20:15:00,17.938
12/07/15,20:45:00,17.986
12/07/15,21:15:00,18.010
12/07/15,21:45:00,18.033
12/07/15,22:15:00,18.033
12/07/15,22:45:00,18.033
12/07/15,23:15:00,18.081
12/07/15,23:45:00,18.081
12/08/15,00:15:00,18.081
12/08/15,00:45:00,18.057
12/08/15,01:15:00,18.033
12/08/15,01:45:00,18.033
12/08/15,02:15:00,18.010
12/08/15,02:45:00,17.986
12/08/15,03:15:00,17.986
12/08/15,03:45:00,17.986
12/08/15,04:15:00,17.962
