"Plot Title: 10254744"
"#","Date","Time, GMT+00:00","Temp, °C"
1,02/06/15,20:00:00,11.759
2,02/06/15,20:30:00,11.734
3,02/06/15,21:00:00,11.783
4,02/06/15,21:30:00,11.880
5,02/06/15,22:00:00,12.001
6,02/06/15,22:30:00,12.122
7,02/06/15,23:00:00,12.219
8,02/06/15,23:30:00,12.219
9,02/07/15,00:00:00,12.485
10,02/07/15,00:30:00,13.112
11,02/07/15,01:00:00,14.026
12,02/07/15,01:30:00,15.438
13,02/07/15,02:00:00,16.177
14,02/07/15,02:30:00,16.511
15,02/07/15,03:00:00,16.796
16,02/07/15,03:30:00,16.820
17,02/07/15,04:00:00,16.915
18,02/07/15,04:30:00,17.034
19,02/07/15,05:00:00,17.486
20,02/07/15,05:30:00,18.319
21,02/07/15,06:00:00,19.151
22,02/07/15,06:30:00,20.388
23,02/07/15,07:00:00,21.557
24,02/07/15,07:30:00,21.604
25,02/07/15,08:00:00,21.604
26,02/07/15,08:30:00,21.987
27,02/07/15,09:00:00,22.082
28,02/07/15,09:30:00,22.034
29,02/07/15,10:00:00,22.011
30,02/07/15,10:30:00,22.082
31,02/07/15,11:00:00,22.154
32,02/07/15,11:30:00,22.202
33,02/07/15,12:00:00,22.178
34,02/07/15,12:30:00,22.178
35,02/07/15,13:00:00,22.154
36,02/07/15,13:30:00,22.154
37,02/07/15,14:00:00,22.130
38,02/07/15,14:30:00,22.130
39,02/07/15,15:00:00,22.106
40,02/07/15,15:30:00,22.106
41,02/07/15,16:00:00,22.082
42,02/07/15,16:30:00,22.082
43,02/07/15,17:00:00,22.106
44,02/07/15,17:30:00,22.106
45,02/07/15,18:00:00,22.106
46,02/07/15,18:30:00,22.130
47,02/07/15,19:00:00,22.130
48,02/07/15,19:30:00,22.130
49,02/07/15,20:00:00,22.130
50,02/07/15,20:30:00,22.130
51,02/07/15,21:00:00,22.106
52,02/07/15,21:30:00,22.106
53,02/07/15,22:00:00,22.082
54,02/07/15,22:30:00,22.058
55,02/07/15,23:00:00,22.082
56,02/07/15,23:30:00,22.082
57,02/08/15,00:00:00,22.058
58,02/08/15,00:30:00,22.011
59,02/08/15,01:00:00,21.987
60,02/08/15,01:30:00,21.963
61,02/08/15,02:00:00,21.939
62,02/08/15,02:30:00,21.915
63,02/08/15,03:00:00,21.939
64,02/08/15,03:30:00,21.939
65,02/08/15,04:00:00,21.939
66,02/08/15,04:30:00,21.939
67,02/08/15,05:00:00,21.939
68,02/08/15,05:30:00,21.963
69,02/08/15,06:00:00,21.963
70,02/08/15,06:30:00,21.987
71,02/08/15,07:00:00,22.011
72,02/08/15,07:30:00,22.058
73,02/08/15,08:00:00,22.058
74,02/08/15,08:30:00,22.082
75,02/08/15,09:00:00,22.082
76,02/08/15,09:30:00,22.082
77,02/08/15,10:00:00,22.058
78,02/08/15,10:30:00,22.058
79,02/08/15,11:00:00,22.058
80,02/08/15,11:30:00,22.082
81,02/08/15,12:00:00,22.106
82,02/08/15,12:30:00,22.082
83,02/08/15,13:00:00,22.106
84,02/08/15,13:30:00,22.106
85,02/08/15,14:00:00,22.106
86,02/08/15,14:30:00,22.130
87,02/08/15,15:00:00,22.130
88,02/08/15,15:30:00,22.154
89,02/08/15,16:00:00,22.130
90,02/08/15,16:30:00,22.130
91,02/08/15,17:00:00,22.130
92,02/08/15,17:30:00,22.154
93,02/08/15,18:00:00,22.154
94,02/08/15,18:30:00,22.130
95,02/08/15,19:00:00,22.130
96,02/08/15,19:30:00,22.130
97,02/08/15,20:00:00,22.154
98,02/08/15,20:30:00,22.130
99,02/08/15,21:00:00,22.130
100,02/08/15,21:30:00,22.130
101,02/08/15,22:00:00,22.106
102,02/08/15,22:30:00,22.106
103,02/08/15,23:00:00,22.130
104,02/08/15,23:30:00,22.130
105,02/09/15,00:00:00,22.154
106,02/09/15,00:30:00,22.130
107,02/09/15,01:00:00,22.106
108,02/09/15,01:30:00,22.058
109,02/09/15,02:00:00,22.106
110,02/09/15,02:30:00,22.082
111,02/09/15,03:00:00,22.106
112,02/09/15,03:30:00,22.082
113,02/09/15,04:00:00,22.082
114,02/09/15,04:30:00,22.082
115,02/09/15,05:00:00,22.106
116,02/09/15,05:30:00,22.154
117,02/09/15,06:00:00,22.202
118,02/09/15,06:30:00,22.106
119,02/09/15,07:00:00,22.082
120,02/09/15,07:30:00,22.154
121,02/09/15,08:00:00,22.202
122,02/09/15,08:30:00,22.082
123,02/09/15,09:00:00,22.082
124,02/09/15,09:30:00,22.082
125,02/09/15,10:00:00,22.106
126,02/09/15,10:30:00,22.130
127,02/09/15,11:00:00,22.154
128,02/09/15,11:30:00,22.178
129,02/09/15,12:00:00,22.178
130,02/09/15,12:30:00,22.226
131,02/09/15,13:00:00,22.226
132,02/09/15,13:30:00,22.226
133,02/09/15,14:00:00,22.226
134,02/09/15,14:30:00,22.202
135,02/09/15,15:00:00,22.226
136,02/09/15,15:30:00,22.202
137,02/09/15,16:00:00,22.226
138,02/09/15,16:30:00,22.226
139,02/09/15,17:00:00,22.202
140,02/09/15,17:30:00,22.202
141,02/09/15,18:00:00,22.178
142,02/09/15,18:30:00,22.178
143,02/09/15,19:00:00,22.202
144,02/09/15,19:30:00,22.178
145,02/09/15,20:00:00,22.226
146,02/09/15,20:30:00,22.274
147,02/09/15,21:00:00,22.298
148,02/09/15,21:30:00,22.202
149,02/09/15,22:00:00,22.154
150,02/09/15,22:30:00,22.106
151,02/09/15,23:00:00,22.082
152,02/09/15,23:30:00,22.082
153,02/10/15,00:00:00,22.058
154,02/10/15,00:30:00,22.058
155,02/10/15,01:00:00,22.106
156,02/10/15,01:30:00,22.178
157,02/10/15,02:00:00,22.178
