"Date","Time, GMT+00:00","Temp, °C"
03/28/16,23:15:00,25.720
03/28/16,23:45:00,20.341
03/29/16,00:15:00,18.176
03/29/16,00:45:00,21.103
03/29/16,01:15:00,14.649
03/29/16,01:45:00,14.721
03/29/16,02:15:00,14.673
03/29/16,02:45:00,14.792
03/29/16,03:15:00,14.912
03/29/16,03:45:00,15.103
03/29/16,04:15:00,15.103
03/29/16,04:45:00,15.079
03/29/16,05:15:00,14.960
03/29/16,05:45:00,14.649
03/29/16,06:15:00,14.553
03/29/16,06:45:00,14.361
03/29/16,07:15:00,14.122
03/29/16,07:45:00,14.385
03/29/16,08:15:00,14.146
03/29/16,08:45:00,13.786
03/29/16,09:15:00,13.570
03/29/16,09:45:00,13.377
03/29/16,10:15:00,13.281
03/29/16,10:45:00,13.161
03/29/16,11:15:00,12.944
03/29/16,11:45:00,12.727
03/29/16,12:15:00,12.558
03/29/16,12:45:00,12.509
03/29/16,13:15:00,12.485
03/29/16,13:45:00,12.461
03/29/16,14:15:00,12.389
03/29/16,14:45:00,12.340
03/29/16,15:15:00,12.340
03/29/16,15:45:00,12.292
03/29/16,16:15:00,12.268
03/29/16,16:45:00,12.195
03/29/16,17:15:00,12.001
03/29/16,17:45:00,11.977
03/29/16,18:15:00,11.832
03/29/16,18:45:00,11.759
03/29/16,19:15:00,11.710
03/29/16,19:45:00,11.710
03/29/16,20:15:00,11.589
03/29/16,20:45:00,11.565
03/29/16,21:15:00,11.540
03/29/16,21:45:00,11.492
03/29/16,22:15:00,11.443
03/29/16,22:45:00,11.419
03/29/16,23:15:00,11.419
03/29/16,23:45:00,11.394
03/30/16,00:15:00,11.419
03/30/16,00:45:00,11.419
03/30/16,01:15:00,11.419
03/30/16,01:45:00,11.443
03/30/16,02:15:00,11.492
03/30/16,02:45:00,11.540
03/30/16,03:15:00,11.565
03/30/16,03:45:00,11.565
03/30/16,04:15:00,11.565
03/30/16,04:45:00,11.589
03/30/16,05:15:00,11.589
03/30/16,05:45:00,11.637
03/30/16,06:15:00,11.807
03/30/16,06:45:00,11.880
03/30/16,07:15:00,11.904
03/30/16,07:45:00,11.880
03/30/16,08:15:00,11.807
03/30/16,08:45:00,11.759
03/30/16,09:15:00,11.759
03/30/16,09:45:00,11.734
03/30/16,10:15:00,11.637
03/30/16,10:45:00,11.613
03/30/16,11:15:00,11.467
03/30/16,11:45:00,11.394
03/30/16,12:15:00,11.394
03/30/16,12:45:00,11.419
03/30/16,13:15:00,11.394
03/30/16,13:45:00,11.516
03/30/16,14:15:00,11.565
03/30/16,14:45:00,11.492
03/30/16,15:15:00,11.443
03/30/16,15:45:00,11.394
03/30/16,16:15:00,11.297
03/30/16,16:45:00,11.273
03/30/16,17:15:00,11.102
03/30/16,17:45:00,11.102
03/30/16,18:15:00,11.370
03/30/16,18:45:00,11.370
03/30/16,19:15:00,11.346
03/30/16,19:45:00,11.346
03/30/16,20:15:00,11.248
03/30/16,20:45:00,11.175
03/30/16,21:15:00,11.102
03/30/16,21:45:00,11.102
03/30/16,22:15:00,11.127
03/30/16,22:45:00,11.127
03/30/16,23:15:00,11.127
03/30/16,23:45:00,11.127
03/31/16,00:15:00,11.248
03/31/16,00:45:00,11.297
03/31/16,01:15:00,11.394
03/31/16,01:45:00,11.346
03/31/16,02:15:00,11.419
03/31/16,02:45:00,11.419
03/31/16,03:15:00,11.443
03/31/16,03:45:00,11.467
03/31/16,04:15:00,11.904
03/31/16,04:45:00,12.243
03/31/16,05:15:00,12.268
03/31/16,05:45:00,12.316
03/31/16,06:15:00,12.098
03/31/16,06:45:00,12.098
03/31/16,07:15:00,11.977
03/31/16,07:45:00,11.904
03/31/16,08:15:00,11.904
03/31/16,08:45:00,11.856
03/31/16,09:15:00,11.856
03/31/16,09:45:00,11.783
03/31/16,10:15:00,11.734
03/31/16,10:45:00,11.662
03/31/16,11:15:00,11.613
03/31/16,11:45:00,11.662
03/31/16,12:15:00,11.686
03/31/16,12:45:00,11.540
03/31/16,13:15:00,11.613
03/31/16,13:45:00,11.613
03/31/16,14:15:00,11.637
03/31/16,14:45:00,11.589
03/31/16,15:15:00,11.613
03/31/16,15:45:00,11.662
03/31/16,16:15:00,11.662
03/31/16,16:45:00,11.565
03/31/16,17:15:00,11.516
03/31/16,17:45:00,11.540
03/31/16,18:15:00,11.540
03/31/16,18:45:00,11.516
03/31/16,19:15:00,11.467
03/31/16,19:45:00,11.370
03/31/16,20:15:00,11.297
03/31/16,20:45:00,11.273
03/31/16,21:15:00,11.273
03/31/16,21:45:00,11.370
03/31/16,22:15:00,11.492
03/31/16,22:45:00,11.589
03/31/16,23:15:00,11.662
03/31/16,23:45:00,11.710
04/01/16,00:15:00,11.759
04/01/16,00:45:00,11.807
04/01/16,01:15:00,11.832
04/01/16,01:45:00,11.832
04/01/16,02:15:00,11.904
04/01/16,02:45:00,12.025
04/01/16,03:15:00,12.122
04/01/16,03:45:00,12.147
04/01/16,04:15:00,12.098
04/01/16,04:45:00,12.122
04/01/16,05:15:00,12.074
04/01/16,05:45:00,12.001
04/01/16,06:15:00,11.977
04/01/16,06:45:00,11.904
04/01/16,07:15:00,11.880
04/01/16,07:45:00,11.880
04/01/16,08:15:00,12.001
04/01/16,08:45:00,11.807
04/01/16,09:15:00,11.929
04/01/16,09:45:00,12.122
04/01/16,10:15:00,12.147
04/01/16,10:45:00,12.147
04/01/16,11:15:00,12.098
04/01/16,11:45:00,12.050
04/01/16,12:15:00,12.074
04/01/16,12:45:00,12.050
04/01/16,13:15:00,12.074
04/01/16,13:45:00,12.001
04/01/16,14:15:00,11.783
04/01/16,14:45:00,11.759
04/01/16,15:15:00,11.589
04/01/16,15:45:00,11.467
04/01/16,16:15:00,11.419
04/01/16,16:45:00,11.346
04/01/16,17:15:00,11.273
04/01/16,17:45:00,11.273
04/01/16,18:15:00,11.273
04/01/16,18:45:00,11.248
04/01/16,19:15:00,11.248
04/01/16,19:45:00,11.224
04/01/16,20:15:00,11.248
04/01/16,20:45:00,11.224
04/01/16,21:15:00,11.248
04/01/16,21:45:00,11.346
04/01/16,22:15:00,11.492
04/01/16,22:45:00,11.589
04/01/16,23:15:00,11.686
04/01/16,23:45:00,11.710
04/02/16,00:15:00,11.807
04/02/16,00:45:00,11.953
04/02/16,01:15:00,12.050
04/02/16,01:45:00,12.147
04/02/16,02:15:00,12.243
04/02/16,02:45:00,12.292
04/02/16,03:15:00,12.340
04/02/16,03:45:00,12.316
04/02/16,04:15:00,12.340
04/02/16,04:45:00,12.340
04/02/16,05:15:00,12.316
04/02/16,05:45:00,12.292
04/02/16,06:15:00,12.268
04/02/16,06:45:00,12.219
04/02/16,07:15:00,12.147
04/02/16,07:45:00,12.074
04/02/16,08:15:00,12.001
04/02/16,08:45:00,11.953
04/02/16,09:15:00,11.904
04/02/16,09:45:00,11.856
04/02/16,10:15:00,11.856
04/02/16,10:45:00,11.880
04/02/16,11:15:00,11.904
04/02/16,11:45:00,11.904
04/02/16,12:15:00,11.929
04/02/16,12:45:00,11.929
04/02/16,13:15:00,11.953
04/02/16,13:45:00,12.001
04/02/16,14:15:00,12.050
04/02/16,14:45:00,12.122
04/02/16,15:15:00,12.147
04/02/16,15:45:00,12.147
04/02/16,16:15:00,12.147
04/02/16,16:45:00,12.171
04/02/16,17:15:00,12.122
04/02/16,17:45:00,12.098
04/02/16,18:15:00,12.098
04/02/16,18:45:00,12.098
04/02/16,19:15:00,12.098
04/02/16,19:45:00,12.147
04/02/16,20:15:00,12.316
04/02/16,20:45:00,12.437
04/02/16,21:15:00,12.485
04/02/16,21:45:00,12.751
04/02/16,22:15:00,12.896
04/02/16,22:45:00,12.992
04/02/16,23:15:00,12.968
04/02/16,23:45:00,13.016
04/03/16,00:15:00,13.016
04/03/16,00:45:00,13.064
04/03/16,01:15:00,13.016
04/03/16,01:45:00,12.992
04/03/16,02:15:00,13.040
04/03/16,02:45:00,13.209
04/03/16,03:15:00,13.161
04/03/16,03:45:00,13.112
04/03/16,04:15:00,13.137
04/03/16,04:45:00,13.112
04/03/16,05:15:00,13.137
04/03/16,05:45:00,13.185
04/03/16,06:15:00,13.137
04/03/16,06:45:00,13.161
04/03/16,07:15:00,13.088
04/03/16,07:45:00,13.209
04/03/16,08:15:00,13.112
04/03/16,08:45:00,12.968
04/03/16,09:15:00,12.944
04/03/16,09:45:00,13.016
04/03/16,10:15:00,13.088
04/03/16,10:45:00,12.992
04/03/16,11:15:00,13.064
04/03/16,11:45:00,13.064
04/03/16,12:15:00,13.112
04/03/16,12:45:00,13.209
04/03/16,13:15:00,12.968
04/03/16,13:45:00,12.968
04/03/16,14:15:00,12.871
04/03/16,14:45:00,12.871
04/03/16,15:15:00,12.847
04/03/16,15:45:00,12.847
04/03/16,16:15:00,12.678
04/03/16,16:45:00,12.509
04/03/16,17:15:00,12.364
04/03/16,17:45:00,12.509
04/03/16,18:15:00,12.582
04/03/16,18:45:00,12.606
04/03/16,19:15:00,12.751
04/03/16,19:45:00,12.751
04/03/16,20:15:00,13.137
04/03/16,20:45:00,13.281
04/03/16,21:15:00,13.377
04/03/16,21:45:00,13.161
04/03/16,22:15:00,13.257
04/03/16,22:45:00,13.209
