Date,Time,Temp (°C) c:1
1/10/2017,16:15:00,27.505
1/10/2017,16:45:00,21.294
1/10/2017,17:15:00,18.604
1/10/2017,17:45:00,17.605
1/10/2017,18:15:00,19.27
1/10/2017,18:45:00,23.617
1/10/2017,19:15:00,25.574
1/10/2017,19:45:00,25.89
1/10/2017,20:15:00,42.833
1/10/2017,20:45:00,42.743
1/10/2017,21:15:00,23.136
1/10/2017,21:45:00,14.122
1/10/2017,22:15:00,14.098
1/10/2017,22:45:00,14.194
1/10/2017,23:15:00,14.29
1/10/2017,23:45:00,14.457
1/11/2017,0:15:00,14.529
1/11/2017,0:45:00,14.529
1/11/2017,1:15:00,14.457
1/11/2017,1:45:00,14.409
1/11/2017,2:15:00,14.385
1/11/2017,2:45:00,14.361
1/11/2017,3:15:00,14.361
1/11/2017,3:45:00,14.385
1/11/2017,4:15:00,14.409
1/11/2017,4:45:00,14.433
1/11/2017,5:15:00,14.457
1/11/2017,5:45:00,14.457
1/11/2017,6:15:00,14.457
1/11/2017,6:45:00,14.409
1/11/2017,7:15:00,14.361
1/11/2017,7:45:00,14.337
1/11/2017,8:15:00,14.361
1/11/2017,8:45:00,14.361
1/11/2017,9:15:00,14.361
1/11/2017,9:45:00,14.361
1/11/2017,10:15:00,14.361
1/11/2017,10:45:00,14.314
1/11/2017,11:15:00,14.314
1/11/2017,11:45:00,14.337
1/11/2017,12:15:00,14.314
1/11/2017,12:45:00,14.337
1/11/2017,13:15:00,14.337
1/11/2017,13:45:00,14.314
1/11/2017,14:15:00,14.29
1/11/2017,14:45:00,14.266
1/11/2017,15:15:00,14.218
1/11/2017,15:45:00,14.194
1/11/2017,16:15:00,14.194
1/11/2017,16:45:00,14.194
1/11/2017,17:15:00,14.194
1/11/2017,17:45:00,14.17
1/11/2017,18:15:00,14.194
1/11/2017,18:45:00,14.194
1/11/2017,19:15:00,14.194
1/11/2017,19:45:00,14.194
1/11/2017,20:15:00,14.194
1/11/2017,20:45:00,14.194
1/11/2017,21:15:00,14.194
1/11/2017,21:45:00,14.218
1/11/2017,22:15:00,14.385
1/11/2017,22:45:00,14.505
1/11/2017,23:15:00,14.553
1/11/2017,23:45:00,14.553
1/12/2017,0:15:00,14.505
1/12/2017,0:45:00,14.457
1/12/2017,1:15:00,14.457
1/12/2017,1:45:00,14.361
1/12/2017,2:15:00,14.266
1/12/2017,2:45:00,14.361
1/12/2017,3:15:00,14.433
1/12/2017,3:45:00,14.194
1/12/2017,4:15:00,14.266
1/12/2017,4:45:00,14.17
1/12/2017,5:15:00,14.122
