Date,Time,Temp (°C) c:1
12/07/17,00:15:00,20.269
12/07/17,00:45:00,17.510
12/07/17,01:15:00,16.511
12/07/17,01:45:00,16.034
12/07/17,02:15:00,15.748
12/07/17,02:45:00,15.557
12/07/17,03:15:00,15.414
12/07/17,03:45:00,15.270
12/07/17,04:15:00,15.127
12/07/17,04:45:00,15.031
12/07/17,05:15:00,14.936
12/07/17,05:45:00,14.888
12/07/17,06:15:00,14.792
12/07/17,06:45:00,14.697
12/07/17,07:15:00,14.601
12/07/17,07:45:00,14.553
12/07/17,08:15:00,14.481
12/07/17,08:45:00,14.481
12/07/17,09:15:00,14.505
12/07/17,09:45:00,14.529
12/07/17,10:15:00,14.649
12/07/17,10:45:00,14.673
12/07/17,11:15:00,14.673
12/07/17,11:45:00,14.697
12/07/17,12:15:00,14.673
12/07/17,12:45:00,14.649
12/07/17,13:15:00,14.649
12/07/17,13:45:00,14.649
12/07/17,14:15:00,14.649
12/07/17,14:45:00,14.625
12/07/17,15:15:00,14.601
12/07/17,15:45:00,14.625
12/07/17,16:15:00,14.816
12/07/17,16:45:00,14.912
12/07/17,17:15:00,14.984
12/07/17,17:45:00,15.127
12/07/17,18:15:00,15.247
12/07/17,18:45:00,15.414
12/07/17,19:15:00,15.796
12/07/17,19:45:00,16.177
12/07/17,20:15:00,16.439
12/07/17,20:45:00,16.606
12/07/17,21:15:00,16.820
12/07/17,21:45:00,17.130
12/07/17,22:15:00,17.344
12/07/17,22:45:00,17.439
12/07/17,23:15:00,17.486
12/07/17,23:45:00,17.510
12/08/17,00:15:00,17.463
12/08/17,00:45:00,17.463
12/08/17,01:15:00,17.463
12/08/17,01:45:00,17.486
12/08/17,02:15:00,17.486
12/08/17,02:45:00,17.510
12/08/17,03:15:00,17.534
12/08/17,03:45:00,17.558
12/08/17,04:15:00,17.558
12/08/17,04:45:00,17.558
12/08/17,05:15:00,17.558
12/08/17,05:45:00,17.558
12/08/17,06:15:00,17.534
12/08/17,06:45:00,17.510
12/08/17,07:15:00,17.534
12/08/17,07:45:00,17.558
12/08/17,08:15:00,17.558
12/08/17,08:45:00,17.558
12/08/17,09:15:00,17.558
12/08/17,09:45:00,17.534
12/08/17,10:15:00,17.510
12/08/17,10:45:00,17.510
12/08/17,11:15:00,17.510
12/08/17,11:45:00,17.510
12/08/17,12:15:00,17.510
12/08/17,12:45:00,17.510
12/08/17,13:15:00,17.510
12/08/17,13:45:00,17.486
12/08/17,14:15:00,17.510
12/08/17,14:45:00,17.486
12/08/17,15:15:00,17.486
12/08/17,15:45:00,17.463
12/08/17,16:15:00,17.463
12/08/17,16:45:00,17.486
12/08/17,17:15:00,17.510
12/08/17,17:45:00,17.582
12/08/17,18:15:00,17.748
12/08/17,18:45:00,17.843
12/08/17,19:15:00,17.915
12/08/17,19:45:00,17.986
12/08/17,20:15:00,18.033
12/08/17,20:45:00,18.033
12/08/17,21:15:00,18.057
12/08/17,21:45:00,18.081
12/08/17,22:15:00,18.129
12/08/17,22:45:00,18.152
12/08/17,23:15:00,18.200
12/08/17,23:45:00,18.176
12/09/17,00:15:00,18.176
12/09/17,00:45:00,18.152
12/09/17,01:15:00,18.200
12/09/17,01:45:00,18.224
12/09/17,02:15:00,18.224
12/09/17,02:45:00,18.247
12/09/17,03:15:00,18.247
12/09/17,03:45:00,18.247
12/09/17,04:15:00,18.247
12/09/17,04:45:00,18.271
12/09/17,05:15:00,18.319
12/09/17,05:45:00,18.343
12/09/17,06:15:00,18.343
12/09/17,06:45:00,18.366
12/09/17,07:15:00,18.343
12/09/17,07:45:00,18.366
12/09/17,08:15:00,18.343
12/09/17,08:45:00,18.366
12/09/17,09:15:00,18.319
12/09/17,09:45:00,18.319
12/09/17,10:15:00,18.319
12/09/17,10:45:00,18.319
12/09/17,11:15:00,18.343
12/09/17,11:45:00,18.366
12/09/17,12:15:00,18.343
12/09/17,12:45:00,18.319
12/09/17,13:15:00,18.295
12/09/17,13:45:00,18.271
12/09/17,14:15:00,18.247
12/09/17,14:45:00,18.247
12/09/17,15:15:00,18.200
12/09/17,15:45:00,18.176
12/09/17,16:15:00,18.176
12/09/17,16:45:00,18.176
12/09/17,17:15:00,18.176
12/09/17,17:45:00,18.176
12/09/17,18:15:00,18.200
12/09/17,18:45:00,18.224
12/09/17,19:15:00,18.295
12/09/17,19:45:00,18.319
12/09/17,20:15:00,18.390
12/09/17,20:45:00,18.414
12/09/17,21:15:00,18.485
12/09/17,21:45:00,18.461
12/09/17,22:15:00,18.509
12/09/17,22:45:00,18.557
12/09/17,23:15:00,18.628
12/09/17,23:45:00,18.699
12/10/17,00:15:00,18.723
12/10/17,00:45:00,18.723
12/10/17,01:15:00,18.723
12/10/17,01:45:00,18.723
12/10/17,02:15:00,18.699
12/10/17,02:45:00,18.747
12/10/17,03:15:00,18.794
12/10/17,03:45:00,18.866
12/10/17,04:15:00,18.937
12/10/17,04:45:00,18.937
12/10/17,05:15:00,18.889
12/10/17,05:45:00,18.866
12/10/17,06:15:00,18.794
12/10/17,06:45:00,18.747
12/10/17,07:15:00,18.675
12/10/17,07:45:00,18.628
12/10/17,08:15:00,18.604
12/10/17,08:45:00,18.557
12/10/17,09:15:00,18.533
12/10/17,09:45:00,18.485
12/10/17,10:15:00,18.247
12/10/17,10:45:00,18.105
12/10/17,11:15:00,17.915
12/10/17,11:45:00,17.748
12/10/17,12:15:00,17.629
12/10/17,12:45:00,17.605
12/10/17,13:15:00,17.582
12/10/17,13:45:00,17.605
12/10/17,14:15:00,17.701
12/10/17,14:45:00,17.748
12/10/17,15:15:00,17.748
12/10/17,15:45:00,17.772
12/10/17,16:15:00,18.010
12/10/17,16:45:00,18.081
12/10/17,17:15:00,18.057
12/10/17,17:45:00,17.891
12/10/17,18:15:00,17.677
12/10/17,18:45:00,17.558
12/10/17,19:15:00,17.391
12/10/17,19:45:00,17.272
12/10/17,20:15:00,17.177
12/10/17,20:45:00,17.177
12/10/17,21:15:00,17.201
12/10/17,21:45:00,17.177
12/10/17,22:15:00,17.153
12/10/17,22:45:00,17.153
12/10/17,23:15:00,17.177
12/10/17,23:45:00,17.130
12/11/17,00:15:00,17.058
12/11/17,00:45:00,16.987
12/11/17,01:15:00,16.892
12/11/17,01:45:00,16.820
12/11/17,02:15:00,16.749
12/11/17,02:45:00,16.677
12/11/17,03:15:00,16.630
12/11/17,03:45:00,16.558
12/11/17,04:15:00,16.487
12/11/17,04:45:00,16.439
12/11/17,05:15:00,16.368
12/11/17,05:45:00,16.296
12/11/17,06:15:00,16.225
12/11/17,06:45:00,16.153
12/11/17,07:15:00,16.106
12/11/17,07:45:00,16.058
12/11/17,08:15:00,15.986
12/11/17,08:45:00,15.939
12/11/17,09:15:00,15.915
12/11/17,09:45:00,15.891
12/11/17,10:15:00,15.843
12/11/17,10:45:00,15.796
12/11/17,11:15:00,15.796
12/11/17,11:45:00,15.748
12/11/17,12:15:00,15.700
12/11/17,12:45:00,15.676
12/11/17,13:15:00,15.629
12/11/17,13:45:00,15.629
12/11/17,14:15:00,15.676
12/11/17,14:45:00,15.676
12/11/17,15:15:00,15.629
12/11/17,15:45:00,15.581
12/11/17,16:15:00,15.557
12/11/17,16:45:00,15.581
12/11/17,17:15:00,15.676
12/11/17,17:45:00,15.748
12/11/17,18:15:00,15.867
12/11/17,18:45:00,15.963
12/11/17,19:15:00,16.058
12/11/17,19:45:00,16.177
12/11/17,20:15:00,16.296
12/11/17,20:45:00,16.392
12/11/17,21:15:00,16.534
12/11/17,21:45:00,16.677
12/11/17,22:15:00,16.796
12/11/17,22:45:00,16.844
12/11/17,23:15:00,16.892
12/11/17,23:45:00,16.939
12/12/17,00:15:00,16.915
12/12/17,00:45:00,16.820
12/12/17,01:15:00,16.701
12/12/17,01:45:00,16.558
12/12/17,02:15:00,16.463
12/12/17,02:45:00,16.344
12/12/17,03:15:00,16.249
12/12/17,03:45:00,16.177
12/12/17,04:15:00,16.129
12/12/17,04:45:00,16.058
12/12/17,05:15:00,15.963
12/12/17,05:45:00,15.891
12/12/17,06:15:00,15.891
12/12/17,06:45:00,15.843
12/12/17,07:15:00,15.796
12/12/17,07:45:00,15.772
12/12/17,08:15:00,15.676
12/12/17,08:45:00,15.581
12/12/17,09:15:00,15.509
12/12/17,09:45:00,15.438
12/12/17,10:15:00,15.366
12/12/17,10:45:00,15.342
12/12/17,11:15:00,15.318
12/12/17,11:45:00,15.270
12/12/17,12:15:00,15.247
12/12/17,12:45:00,15.223
12/12/17,13:15:00,15.175
12/12/17,13:45:00,15.127
12/12/17,14:15:00,15.103
12/12/17,14:45:00,15.175
12/12/17,15:15:00,15.151
12/12/17,15:45:00,15.079
12/12/17,16:15:00,15.031
12/12/17,16:45:00,15.031
